Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 14.73      1.67     1.67 1301649836     0.00     0.00  std::vector<float, std::allocator<float> >::operator[](unsigned long) const
 12.88      3.12     1.46 1157635640     0.00     0.00  std::vector<float, std::allocator<float> >::operator[](unsigned long)
 12.21      4.50     1.38 149850000     0.00     0.00  Vec3::operator-(Vec3 const&) const
  9.12      5.53     1.03 100001143     0.00     0.00  get_pos(Particles const&, unsigned long)
  8.41      6.48     0.95      100     9.50    23.31  compute_gravity(Particles const&, std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> >&, float, float)
  7.17      7.29     0.81                             _init
  6.73      8.05     0.76      100     7.60    20.80  compute_density_sph(Particles&, float)
  5.40      8.66     0.61 300941956     0.00     0.00  Vec3::Vec3(float, float, float)
  4.87      9.21     0.55   100000     0.01     0.01  StarFormation::compute_local_density(Particles const&, int) const
  3.72      9.63     0.42   100000     0.00     0.03  StarFormation::count_neighbors(Particles const&, int) const
  2.96      9.96     0.34 100000000     0.00     0.00  cubic_spline_W(float, float)
  2.57     10.26     0.29 149850000     0.00     0.00  Vec3::length2() const
  2.52     10.54     0.28 250453000     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long) const
  2.04     10.77     0.23      100     2.30    12.94  compute_pressure_forces(Particles&, float, std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> >&)
  1.86     10.98     0.21 199901500     0.00     0.00  std::sqrt(float)
  1.55     11.15     0.17                             std::vector<float, std::allocator<float> >::push_back(float&&)
  0.40     11.20     0.04      539     0.08     0.08  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.22     11.22     0.03 50252286     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
  0.18     11.24     0.02  1039666     0.00     0.00  Vec3::operator*(float) const
  0.13     11.26     0.01                             compute_density_kNN(Particles&, int)
  0.09     11.27     0.01   519833     0.00     0.00  cubic_spline_dWdr(float, float)
  0.09     11.28     0.01      100     0.10    45.35  StarFormation::detect_star_candidates(Particles const&) const
  0.04     11.29     0.01     5336     0.00     0.00  operator new(unsigned long, void*)
  0.04     11.29     0.01      411     0.01     0.10  std::vector<float, std::allocator<float> >::vector(unsigned long, float const&, std::allocator<float> const&)
  0.04     11.29     0.01      411     0.01     0.01  std::vector<float, std::allocator<float> >::~vector()
  0.04     11.30     0.01                             void std::fill<__gnu_cxx::__normal_iterator<Vec3*, std::vector<Vec3, std::allocator<Vec3> > >, Vec3>(__gnu_cxx::__normal_iterator<Vec3*, std::vector<Vec3, std::allocator<Vec3> > >, __gnu_cxx::__normal_iterator<Vec3*, std::vector<Vec3, std::allocator<Vec3> > >, Vec3 const&)
  0.00     11.30     0.00   619833     0.00     0.00  float const& std::max<float>(float const&, float const&)
