x,y,z,vx,vy,vz,temperature,density,pressure
-3.99955,-7.99911,-11.99873,-5.16494,-10.32989,-15.49597,0.91432,1.00000,0.91432
-3.61235,-7.22470,-10.83702,-3.59123,-7.18247,-10.77228,0.91432,1.00000,0.91432
-3.43738,-6.87475,-10.31213,-1.82313,-3.64627,-5.46899,0.91432,1.00000,0.91432
-3.23621,-6.47242,-9.70861,-3.83303,-7.66607,-11.49906,0.91432,1.00000,0.91432
-3.45654,-6.91307,-10.36963,-2.99174,-5.98349,-8.97735,0.91432,1.00000,0.91432
-3.70770,-7.41541,-11.12311,-1.45287,-2.90574,-4.35833,0.91432,1.00000,0.91432
-3.72401,-7.44801,-11.17201,-6.14627,-12.29253,-18.43949,0.91432,1.00000,0.91432
-3.00979,-6.01957,-9.02936,-3.33441,-6.66882,-10.00324,0.91432,1.00000,0.91432
-3.70275,-7.40549,-11.10823,-5.16136,-10.32273,-15.48336,0.91432,1.00000,0.91432
-3.47338,-6.94677,-10.42016,-0.03482,-0.06964,-0.10464,0.91432,1.00000,0.91432
-4.83111,-9.66222,-14.49337,-7.04026,-14.08051,-21.11907,0.91432,1.00000,0.91432
-3.54330,-7.08661,-10.62985,-4.53795,-9.07590,-13.61200,0.91432,1.00000,0.91432
-3.72351,-7.44702,-11.17051,-2.97169,-5.94338,-8.91550,0.91432,1.00000,0.91432
-3.63408,-7.26816,-10.90217,-2.94172,-5.88345,-8.82234,0.91432,1.00000,0.91432
-3.78008,-7.56017,-11.34026,-3.49048,-6.98097,-10.47146,0.91432,1.00000,0.91432
-3.70571,-7.41141,-11.11711,-2.86383,-5.72766,-8.59135,0.91432,1.00000,0.91432
-3.67832,-7.35664,-11.03495,-4.47428,-8.94855,-13.42373,0.91432,1.00000,0.91432
-3.70819,-7.41638,-11.12457,-2.36759,-4.73519,-7.10338,0.91432,1.00000,0.91432
-3.68433,-7.36865,-11.05297,-1.22876,-2.45752,-3.68693,0.91432,1.00000,0.91432
-3.69043,-7.38086,-11.07129,-2.75506,-5.51012,-8.26542,0.91432,1.00000,0.91432
-3.68807,-7.37614,-11.06420,-4.97531,-9.95062,-14.92561,0.91432,1.00000,0.91432
-3.69214,-7.38427,-11.07639,-4.87949,-9.75899,-14.63825,0.91432,1.00000,0.91432
-3.69402,-7.38803,-11.08204,-3.74437,-7.48873,-11.23288,0.91432,1.00000,0.91432
-3.67882,-7.35763,-11.03645,-4.02687,-8.05375,-12.08134,0.91432,1.00000,0.91432
-3.68887,-7.37774,-11.06661,-3.81944,-7.63888,-11.45837,0.91432,1.00000,0.91432
-3.68439,-7.36878,-11.05316,-3.80345,-7.60690,-11.41031,0.91432,1.00000,0.91432
-3.68326,-7.36653,-11.04979,-3.91255,-7.82509,-11.73765,0.91432,1.00000,0.91432
-3.68390,-7.36779,-11.05168,-3.98320,-7.96640,-11.94934,0.91432,1.00000,0.91432
-3.68508,-7.37016,-11.05524,-4.01751,-8.03502,-12.05226,0.91432,1.00000,0.91432
-3.68601,-7.37202,-11.05802,-4.06943,-8.13885,-12.20796,0.91432,1.00000,0.91432
-3.68554,-7.37109,-11.05663,-4.18528,-8.37055,-12.55498,0.91432,1.00000,0.91432
-3.68108,-7.36216,-11.04324,-4.14384,-8.28768,-12.43210,0.91432,1.00000,0.91432
-3.67890,-7.35780,-11.03670,-2.97631,-5.95263,-8.92933,0.91432,1.00000,0.91432
-3.68157,-7.36314,-11.04471,-2.90701,-5.81402,-8.72130,0.91432,1.00000,0.91432
-3.68696,-7.37391,-11.06086,-3.49645,-6.99290,-10.48950,0.91432,1.00000,0.91432
-3.69196,-7.38392,-11.07587,-3.78460,-7.56921,-11.35327,0.91432,1.00000,0.91432
-3.69091,-7.38182,-11.07272,-4.18742,-8.37484,-12.56227,0.91432,1.00000,0.91432
-3.71492,-7.42984,-11.14475,-4.16275,-8.32551,-12.48840,0.91432,1.00000,0.91432
-3.69909,-7.39819,-11.09728,-4.48387,-8.96774,-13.45162,0.91432,1.00000,0.91432
-3.69915,-7.39830,-11.09745,-5.23900,-10.47799,-15.71703,0.91432,1.00000,0.91432
