Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 14.51      1.18     1.18 902206000     0.00     0.00  std::vector<float, std::allocator<float> >::operator[](unsigned long)
 11.11      2.08     0.90 99900000     0.00     0.00  Vec3::operator-(Vec3 const&) const
 10.19      2.90     0.82 602041044     0.00     0.00  std::vector<float, std::allocator<float> >::operator[](unsigned long) const
  9.69      3.69     0.79      100     7.85    20.37  compute_density_sph(Particles&, float)
  9.44      4.45     0.77 100000000     0.00     0.00  get_pos(Particles const&, unsigned long)
  7.90      5.09     0.64      100     6.40     9.86  compute_gravity_cached_optimized(Particles&, float, float)
  6.17      5.59     0.50   100000     0.01     0.01  StarFormation::compute_local_density(Particles const&, int) const
  6.05      6.08     0.49   100000     0.00     0.03  StarFormation::count_neighbors(Particles const&, int) const
  4.20      6.42     0.34 199900003     0.00     0.00  Vec3::Vec3(float, float, float)
  4.20      6.76     0.34                             _init
  3.64      7.05     0.29 200401000     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long) const
  3.33      7.33     0.27 100000000     0.00     0.00  cubic_spline_W(float, float)
  2.78      7.55     0.23 99900000     0.00     0.00  Vec3::length2() const
  2.35      7.74     0.19      100     1.90     2.25  compute_pressure_forces_cached(Particles&, float)
  1.73      7.88     0.14 199901500     0.00     0.00  std::sqrt(float)
  1.54      8.01     0.12                             std::vector<float, std::allocator<float> >::assign(unsigned long, float const&)
  0.62      8.05     0.05 50152286     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
  0.31      8.08     0.03      216     0.12     0.12  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.19      8.10     0.01      115     0.13     0.13  std::__size_to_integer(unsigned long)
  0.06      8.10     0.01                             frame_dummy
  0.00      8.10     0.00   624395     0.00     0.00  float const& std::max<float>(float const&, float const&)
  0.00      8.10     0.00   524395     0.00     0.00  cubic_spline_dWdr(float, float)
  0.00      8.10     0.00     3800     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::min()
  0.00      8.10     0.00     3800     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.00      8.10     0.00     3800     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, float>::operator()()
  0.00      8.10     0.00     3800     0.00     0.00  float std::generate_canonical<float, 24ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      8.10     0.00     3429     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      8.10     0.00     3000     0.00     0.00  std::normal_distribution<float>::param_type::mean() const
  0.00      8.10     0.00     3000     0.00     0.00  std::normal_distribution<float>::param_type::stddev() const
  0.00      8.10     0.00     3000     0.00     0.00  float std::normal_distribution<float>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      8.10     0.00     3000     0.00     0.00  float std::normal_distribution<float>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::normal_distribution<float>::param_type const&)
  0.00      8.10     0.00     3000     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, float>::_Adaptor(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      8.10     0.00     2486     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      8.10     0.00     2286     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      8.10     0.00     2100     0.00     0.00  float* std::vector<float, std::allocator<float> >::_M_data_ptr<float>(float*) const
  0.00      8.10     0.00     2100     0.00     0.00  std::vector<float, std::allocator<float> >::data()
  0.00      8.10     0.00     1500     0.00     0.00  std::log(float)
