Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     14.74     0.00     2286     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00     14.74     0.00     2047     0.00     0.00  void __gnu_cxx::new_allocator<Star>::destroy<Star>(Star*)
  0.00     14.74     0.00     2047     0.00     0.00  void __gnu_cxx::new_allocator<Star>::construct<Star, Star>(Star*, Star&&)
  0.00     14.74     0.00     2047     0.00     0.00  void std::allocator_traits<std::allocator<Star> >::destroy<Star>(std::allocator<Star>&, Star*)
  0.00     14.74     0.00     2047     0.00     0.00  void std::allocator_traits<std::allocator<Star> >::construct<Star, Star>(std::allocator<Star>&, Star*, Star&&)
  0.00     14.74     0.00     2047     0.00     0.00  void std::__relocate_object_a<Star, Star, std::allocator<Star> >(Star*, Star*, std::allocator<Star>&)
  0.00     14.74     0.00     2047     0.00     0.00  std::remove_reference<Star&>::type&& std::move<Star&>(Star&)
  0.00     14.74     0.00     1500     0.00     0.00  std::log(float)
  0.00     14.74     0.00     1243     0.00     0.00  bool __gnu_cxx::operator!=<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&)
  0.00     14.74     0.00     1233     0.00     0.00  __gnu_cxx::new_allocator<float>::~new_allocator()
  0.00     14.74     0.00     1233     0.00     0.00  std::allocator<float>::~allocator()
  0.00     14.74     0.00     1143     0.00     0.00  get_vel(Particles const&, unsigned long)
  0.00     14.74     0.00     1143     0.00     0.00  Star::Star(float, Vec3 const&, Vec3 const&, float)
  0.00     14.74     0.00     1143     0.00     0.00  void __gnu_cxx::new_allocator<Star>::construct<Star, Star const&>(Star*, Star const&)
  0.00     14.74     0.00     1143     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int>(int*, int&&)
  0.00     14.74     0.00     1143     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator++()
  0.00     14.74     0.00     1143     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00     14.74     0.00     1143     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00     14.74     0.00     1143     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator-(long) const
  0.00     14.74     0.00     1143     0.00     0.00  void std::allocator_traits<std::allocator<Star> >::construct<Star, Star const&>(std::allocator<Star>&, Star*, Star const&)
  0.00     14.74     0.00     1143     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int>(std::allocator<int>&, int*, int&&)
  0.00     14.74     0.00     1143     0.00     0.01  std::vector<Star, std::allocator<Star> >::push_back(Star const&)
  0.00     14.74     0.00     1143     0.00     0.00  int& std::vector<int, std::allocator<int> >::emplace_back<int>(int&&)
