x,y,z,vx,vy,vz,temperature,density,pressure
-0.03362,-0.06723,-0.10091,-0.27068,-0.54137,-0.81219,17.21037,71.39790,1228.78442
-0.20279,-0.40558,-0.60834,1.81954,3.63908,5.45900,39.72876,250.41339,9948.61230
-0.13093,-0.26187,-0.39281,1.60406,3.20811,4.81115,5861.86865,448801.65625,2630816256.00000
0.19326,0.38652,0.57974,1.73016,3.46032,5.19091,56.79023,427.96725,24304.35742
0.19229,0.38458,0.57682,-2.65634,-5.31268,-7.97166,54.85059,406.23013,22281.96289
0.24423,0.48846,0.73267,0.86964,1.73929,2.60891,4025.37451,255393.43750,1028054208.00000
-0.94328,-1.88657,-2.82982,-1.49739,-2.99478,-4.49213,0.27166,0.14159,0.03846
0.80341,1.60682,2.41030,2.36906,4.73812,7.10737,0.58418,0.44650,0.26084
-0.17822,-0.35644,-0.53464,0.78009,1.56018,2.34053,99.29722,989.47717,98252.32812
-0.22015,-0.44031,-0.66041,-0.38422,-0.76843,-1.15215,24.94971,124.62305,3109.30884
0.42816,0.85632,1.28453,-0.52181,-1.04362,-1.56428,5.90120,14.33544,84.59634
-0.15358,-0.30716,-0.46074,-2.99404,-5.98809,-8.98093,503.87799,11310.66992,5699197.50000
0.28209,0.56418,0.84627,1.59971,3.19942,4.80011,197.38734,2773.18701,547392.00000
0.26300,0.52599,0.78899,2.73931,5.47862,8.21944,1109.07385,36935.24609,40963916.00000
-0.18492,-0.36985,-0.55475,-1.28907,-2.57814,-3.86650,74.11620,638.07220,47291.48438
0.28549,0.57097,0.85646,3.00842,6.01684,9.02629,158.98032,2004.54224,318682.75000
-0.14172,-0.28344,-0.42515,1.67432,3.34863,5.02233,3218.96631,182631.20312,587883712.00000
0.25582,0.51164,0.76745,-1.91591,-3.83182,-5.74892,3767.06030,231208.70312,870977152.00000
0.24901,0.49803,0.74703,1.18963,2.37926,3.56911,15627.73145,1953638.87500,30530942976.00000
0.25619,0.51239,0.76857,-0.67219,-1.34437,-2.01713,3769.85034,231465.62500,872590784.00000
0.26232,0.52464,0.78696,1.49187,2.98374,4.47632,1179.50427,40508.81641,47780324.00000
0.25918,0.51836,0.77753,0.24526,0.49052,0.73575,1879.83118,81503.92969,153213632.00000
0.24665,0.49330,0.73993,-0.61428,-1.22856,-1.84352,7521.19971,652275.43750,4905893888.00000
0.24062,0.48123,0.72183,0.40694,0.81389,1.22056,2188.96387,102413.71875,224179920.00000
0.25405,0.50810,0.76214,0.94822,1.89644,2.84493,5449.02930,402234.21875,2191785984.00000
0.25559,0.51118,0.76677,0.47792,0.95583,1.43379,3921.22827,245546.35938,962843328.00000
0.25236,0.50471,0.75706,0.03463,0.06926,0.10363,8741.81738,817340.31250,7145039360.00000
0.24869,0.49739,0.74607,-0.10097,-0.20195,-0.30331,13010.00684,1483941.25000,19306086400.00000
0.24759,0.49518,0.74275,0.02896,0.05792,0.08653,11602.51660,1249765.87500,14500429824.00000
0.24776,0.49552,0.74327,0.18016,0.36032,0.54021,12706.65430,1432343.62500,18200295424.00000
0.24830,0.49660,0.74488,0.28267,0.56534,0.84781,10652.54883,1099463.12500,11712084992.00000
0.24892,0.49784,0.74675,0.33628,0.67256,1.00870,14790.91699,1798841.87500,26606520320.00000
0.24954,0.49908,0.74861,0.35673,0.71346,1.07007,15832.31250,1992126.50000,31539970048.00000
0.25016,0.50032,0.75046,0.36869,0.73738,1.10597,11517.86816,1236114.00000,14237398016.00000
0.25081,0.50162,0.75242,0.39953,0.79906,1.19849,9712.73535,957222.00000,9297244160.00000
0.25146,0.50292,0.75437,0.47063,0.94125,1.41186,9184.40234,880190.56250,8084024320.00000
0.25186,0.50373,0.75558,0.58864,1.17729,1.76599,9541.23828,931981.81250,8892260352.00000
0.25147,0.50293,0.75439,0.72716,1.45432,2.18161,9204.75391,883117.75000,8128881152.00000
0.24955,0.49909,0.74862,0.79179,1.58358,2.37548,15785.56055,1983309.12500,31307646976.00000
0.24622,0.49244,0.73865,0.65126,1.30252,1.95375,6341.62158,505011.03125,3202588928.00000
0.24425,0.48850,0.73273,0.31187,0.62375,0.93539,4053.26489,258052.34375,1045954496.00000
0.24839,0.49678,0.74516,-0.41233,-0.82465,-1.23755,11105.14551,1170271.87500,12996039680.00000
0.25682,0.51365,0.77046,0.25619,0.51238,0.76849,3289.76636,188689.56250,620744576.00000
0.24657,0.49315,0.73970,-0.81124,-1.62248,-2.43449,7288.59521,622251.68750,4535340544.00000
0.23535,0.47070,0.70603,-1.17481,-2.34963,-3.52571,866.76880,25518.50195,22118642.00000
0.23973,0.47945,0.71916,1.00235,2.00470,3.00710,1809.94470,77001.33594,139368160.00000
0.22463,0.44925,0.67385,-0.90759,-1.81518,-2.72387,281.09753,4712.87354,1324777.12500
0.26504,0.53008,0.79512,-0.55869,-1.11738,-1.67652,861.99371,25307.91602,21815264.00000
