x,y,z,vx,vy,vz,temperature,density,pressure,is_star
0.78201,0.77105,0.47914,-0.64884,-9.27769,2.45408,0.47332,86103.50781,40774.97656,1
2.63770,-1.14315,1.99721,27.49141,-23.74663,23.49192,0.23612,11789.25586,2785.07861,1
0.58109,0.50931,0.40129,0.11707,3.83075,-3.70752,1.18170,64895.84375,76725.72656,1
-1.09077,-1.58853,1.33197,-17.79683,-27.08066,14.11487,4.65776,39689.25391,184955.43750,1
0.14152,3.30203,-0.65343,-6.45094,38.36849,-14.39744,0.42033,11789.25586,4957.81348,1
-1.31761,1.71931,1.38500,-29.10175,21.22362,7.39211,0.92971,11789.25586,10966.03418,1
2.64166,1.75947,0.39328,30.75702,24.52590,3.16697,0.06382,11789.25586,752.82428,0
0.75251,0.56731,0.45310,-9.57091,-0.73546,18.57943,0.77394,80361.46875,62226.06250,1
0.57900,0.52349,0.42868,6.52648,-2.09235,-4.91081,1.01276,149969.85938,151959.51562,1
1.18497,-1.71711,2.76191,13.85861,-28.58405,35.09131,0.38981,11789.25586,4597.89795,1
-1.66878,-3.27236,0.53761,-32.80170,-54.06413,1.83678,46.82451,11789.25586,552302.31250,1
1.85790,-0.93512,0.39975,12.49134,-14.21976,-4.37935,1.27676,11789.25586,15059.52441,1
2.47702,0.22470,1.91447,28.33205,3.18084,22.49811,0.07016,20945.91797,1470.29126,0
-0.65036,-0.13724,0.04973,-10.50587,-0.62589,-2.09701,4.51706,14093.53809,63693.16016,1
-1.47797,-0.94593,3.55518,-35.55245,-17.25828,42.29739,1.42287,19669.70898,28001.53125,1
-0.14736,0.97605,-0.58052,-2.32954,9.39933,-7.41654,1.60401,11789.25586,18919.49805,1
-1.33306,1.90964,2.19497,-27.66992,19.54586,25.78242,0.39159,11789.25586,4618.91309,1
0.62344,0.73821,0.57180,4.37740,5.35858,-6.32553,0.74506,11789.25586,8788.11719,1
0.83769,0.52674,0.71693,-0.76191,4.75963,-2.63038,0.46598,23380.17773,10900.05664,1
4.63771,-2.56463,0.05555,58.79835,-45.19331,-4.66383,0.62088,11789.25586,7323.37793,1
0.63932,0.57908,0.43578,-6.70136,7.32990,3.92519,0.90292,15576.48633,14071.31543,1
1.62708,2.07942,1.04007,21.67325,23.61024,11.29513,0.06820,52203.43750,3561.91626,1
-0.61696,-0.11987,0.07576,-13.66969,-10.98523,4.59867,4.26851,59112.70312,252449.60938,1
-0.31669,-0.74643,-2.11927,-16.69859,-11.44778,-38.93870,23.50119,11789.25586,277200.18750,1
0.78939,-0.01789,2.15304,8.87333,-4.20576,23.91944,0.22679,11789.25586,2675.04004,0
-0.04833,-0.80106,-1.48266,-8.82424,-17.47372,-24.21548,13.13107,11789.25586,154882.98438,0
0.69997,0.55837,0.39181,13.75866,14.85721,-0.17640,0.95727,37615.33594,36026.21484,1
2.05967,-0.06270,1.49227,23.69897,-0.76915,16.79035,0.16203,11789.25586,1911.11829,0
-2.17319,3.35654,3.03164,-40.61354,41.38945,38.30191,0.14560,11789.25586,1717.32422,1
0.60237,0.64488,0.40033,0.67677,-20.68897,-1.00669,0.82999,11789.25586,9789.89941,0
0.83615,0.52925,0.71577,-1.06091,6.82296,-0.79958,0.46479,23380.17773,10872.20703,1
4.89741,-0.82925,-2.53371,60.03788,-17.79604,-44.23130,0.94375,23262.46484,21964.97461,1
1.44537,0.01405,1.68475,7.14788,-0.17231,11.28967,0.33059,11789.25586,3899.30786,0
-1.32452,2.07873,2.46290,-20.80103,25.84080,30.66764,0.19707,21853.62891,4308.83008,1
-1.82717,0.09168,-1.43165,-33.58875,-10.05393,-29.37286,21.33800,18459.67773,394089.68750,1
0.59177,0.53697,0.43847,-7.89925,12.27032,-1.95845,1.07252,90579.39844,97196.68750,1
2.26603,0.37298,2.07869,26.07599,2.03912,27.15755,0.06379,11789.25586,752.46661,0
-3.01657,-2.53169,-0.47158,-46.43853,-45.11590,-10.63424,129.97151,19196.56250,2496254.25000,1
0.60335,0.50371,0.43745,8.73261,-1.00186,-18.25126,1.05582,56769.89453,59968.99219,1
-2.40666,1.23776,-0.63321,-38.11711,13.55983,-13.45352,6.10298,11789.25586,71985.60938,1
3.70251,1.73633,-3.67819,44.70313,19.32959,-62.38618,0.80212,17546.15625,14081.22461,1
0.24084,0.31439,0.32968,-8.02027,2.78192,1.69551,1.58875,11789.25586,18739.51172,1
1.30170,2.86366,1.79763,15.38160,35.41545,19.20056,0.02731,38034.60156,1039.35095,1
-1.88124,0.44784,5.72508,-36.60314,-1.24162,78.54088,0.14378,11789.25586,1695.85583,1
0.62137,0.55795,0.41980,14.35442,2.86947,-0.93958,1.05464,92659.29688,97770.71094,1
1.45001,2.19368,1.31495,15.70283,20.75196,11.05132,0.05824,11789.25586,686.91846,1
-0.49832,-1.99240,0.70487,-13.64103,-33.36953,4.73314,9.12219,21359.85156,194946.12500,0
2.75996,-0.71919,1.76384,26.22488,-12.30926,13.89191,0.22690,11789.25586,2676.37598,1
3.22442,-1.46163,-2.38888,42.84553,-25.26226,-38.29903,2.63456,11789.25586,31075.02344,1
3.58489,-0.21584,-0.17545,42.23698,-10.14347,-7.75916,0.29762,11789.25586,3510.45825,1
-0.11777,0.33477,0.17169,-9.99784,-2.23594,-6.56697,2.08042,11789.25586,24538.90430,0
0.78485,0.80166,0.40102,7.39355,2.08966,-11.23329,0.46104,20601.55273,9502.83594,1
1.39748,0.99413,0.30583,0.79871,0.45550,3.83241,0.37997,40083.47656,15238.28027,0
1.59048,0.37303,1.41116,11.55731,5.26171,7.81200,0.28641,22739.92188,6516.22998,0
0.04612,-1.93771,-0.95332,-2.70407,-31.59401,-17.31640,12.55880,11789.25586,148132.95312,1
2.54334,1.00193,0.57165,23.54619,6.01943,1.79796,0.15486,20050.43945,3106.66333,1
0.12474,-0.27214,0.89610,-9.48715,0.84731,-2.78344,1.85792,11789.25586,21914.46680,1
2.34633,-1.82801,1.71514,34.69602,-33.96446,16.93647,0.39603,63875.89453,25309.41992,1
0.75714,0.70325,0.50372,-14.01343,13.59537,24.00718,0.68164,13139.64844,8960.96289,1
0.63410,0.53740,0.48788,-2.34820,14.82264,-0.10949,0.96222,15101.76660,14538.54883,1
0.88873,0.49674,0.65086,10.61566,19.64315,-4.48327,0.48505,11807.80762,5730.25049,1
