x,y,z,vx,vy,vz,temperature,density,pressure
-258.15457,-516.30914,-774.46326,-1358.84766,-2717.69531,-4076.54102,0.00003,0.00000,0.00000
-313.80466,-627.60931,-941.41406,-1651.74756,-3303.49512,-4955.24365,0.00004,0.00000,0.00000
-369.41656,-738.83313,-1108.24976,-1944.44568,-3888.89136,-5833.33740,0.00002,0.00000,0.00000
-423.52420,-847.04840,-1270.57153,-2229.22681,-4458.45361,-6687.67480,0.00001,0.00000,0.00000
-476.34509,-952.69019,-1429.03503,-2507.23486,-5014.46973,-7521.70312,0.00001,0.00000,0.00000
-531.02917,-1062.05835,-1593.08813,-2795.04956,-5590.09912,-8385.15137,0.00001,0.00000,0.00000
-594.77637,-1189.55273,-1784.32874,-3130.56348,-6261.12695,-9391.68945,0.00000,0.00000,0.00000
-615.87549,-1231.75098,-1847.62781,-3241.61572,-6483.23145,-9724.85449,0.00000,0.00000,0.00000
-627.65540,-1255.31079,-1882.96533,-3303.61792,-6607.23584,-9910.85059,0.00000,0.00000,0.00000
-630.25287,-1260.50574,-1890.75952,-3317.29126,-6634.58252,-9951.87695,0.00000,0.00000,0.00000
-652.73376,-1305.46753,-1958.19922,-3435.61548,-6871.23096,-10306.83105,0.00000,0.00000,0.00000
-676.30267,-1352.60535,-2028.90625,-3559.66431,-7119.32861,-10678.98535,0.00000,0.00000,0.00000
-667.23016,-1334.46033,-2001.68677,-3511.91699,-7023.83398,-10535.72754,0.00000,0.00000,0.00000
-633.81470,-1267.62939,-1901.43970,-3336.04712,-6672.09424,-10008.11816,0.00000,0.00000,0.00000
-592.75360,-1185.50720,-1778.25537,-3119.93970,-6239.87939,-9359.79102,0.00000,0.00000,0.00000
-546.58429,-1093.16858,-1639.74854,-2876.94434,-5753.88867,-8630.80957,0.00001,0.00000,0.00000
-538.25049,-1076.50098,-1614.75134,-2833.08447,-5666.16895,-8499.25098,0.00001,0.00000,0.00000
-523.44507,-1046.89014,-1570.32642,-2755.16235,-5510.32471,-8265.44336,0.00001,0.00000,0.00000
-470.94727,-941.89453,-1412.84607,-2478.86108,-4957.72217,-7436.60400,0.00001,0.00000,0.00000
-400.50571,-801.01141,-1201.51880,-2108.11694,-4216.23389,-6324.36133,0.00001,0.00000,0.00000
-331.47687,-662.95374,-994.42889,-1744.81641,-3489.63281,-5234.43994,0.00003,0.00000,0.00000
