x,y,z,vx,vy,vz,temperature,density,pressure,is_star
0.34549,0.34637,0.27723,-8.79642,-3.71056,5.53051,1.00415,73120.78125,73461.20312,0
0.52313,0.53088,0.35314,7.74833,-5.59735,5.34604,0.99450,18425.35742,18333.17383,0
0.87538,0.21852,0.69533,-11.59421,-1.84408,-1.00518,1.00913,43361.16016,43779.10547,0
0.38233,0.36703,0.28384,-8.28755,-4.04890,3.35179,1.00549,33962.82031,34166.45312,0
0.59776,0.50712,0.42754,0.48834,-7.57428,-10.21768,1.01104,108160.28125,109409.24219,0
0.87728,0.14968,0.69586,-10.30400,6.77607,-1.11240,1.00260,37047.69531,37162.42188,0
0.23058,0.22446,0.35550,5.50223,6.11392,-4.49650,0.99475,21738.00391,21634.72266,0
0.53687,0.45897,0.45130,10.76955,4.08887,-7.46498,0.99457,66550.90625,66222.55469,0
0.73362,0.18509,0.70611,11.64961,3.87141,-1.74978,0.99031,36798.55078,36460.37109,0
0.28509,0.37102,0.22546,2.85874,-5.71180,8.76269,0.99556,24212.63086,24117.14453,0
0.63032,0.55558,0.38886,-7.46820,-12.65405,1.08265,1.01220,63832.15625,64643.19531,0
0.74015,0.28280,0.71097,5.08683,-8.14381,-2.54442,1.00324,20507.01367,20583.66992,0
0.18193,0.35363,0.23325,6.26766,-1.23131,4.03120,0.99345,20144.10352,20022.21094,0
0.64164,0.49574,0.44832,-5.39929,-2.90124,-11.49286,1.01270,84493.92969,85610.00000,0
0.84413,0.24042,0.62808,-3.17796,-3.76958,7.65997,0.99902,36323.33203,36306.06250,0
0.35560,0.27543,0.37203,-6.49655,5.53691,-8.85366,1.00605,39336.74219,39594.34766,0
0.65092,0.44015,0.34017,-6.22978,5.54938,7.00578,0.99528,14586.89355,14525.32031,0
0.73614,0.16920,0.66565,9.33368,5.82584,3.13217,0.98730,33699.37500,33288.01953,0
0.35556,0.32931,0.30473,-9.28366,-2.62521,-1.90944,1.00872,54434.37109,54936.33594,0
0.59003,0.48534,0.39756,-0.18608,6.98564,0.60012,0.99456,144793.17188,144078.17188,1
0.74530,0.18831,0.64711,7.58579,1.51443,7.77880,0.98824,39667.76953,39220.95312,0
0.30025,0.26904,0.29554,1.35332,7.47198,2.28108,0.99209,119655.75000,118768.90625,0
0.62937,0.48402,0.46713,-4.87689,0.51291,-10.21370,1.00922,52419.74609,52929.69531,0
0.78511,0.21106,0.72534,7.85797,-4.93757,-7.20370,1.00236,114409.56250,114736.59375,0
0.30173,0.33378,0.14420,0.81570,-0.57175,6.37459,0.99509,11914.22656,11861.60449,0
0.60713,0.54840,0.48944,-1.20188,-5.88057,-8.88326,1.01015,20241.43164,20457.09375,0
0.78913,0.17751,0.69833,6.57066,11.47143,-0.18818,0.98759,199317.04688,196942.28125,1
0.20691,0.38157,0.26260,7.21834,-4.73362,2.71030,0.99603,17346.00977,17285.87500,0
0.58469,0.48642,0.36429,7.75513,1.14450,11.27575,0.98604,85998.83594,84840.96875,0
0.62540,0.06649,0.74075,2.27306,2.42334,-1.19868,0.99717,11789.25586,11761.73730,0
0.35998,0.32967,0.29895,-10.39904,-1.92136,1.58432,1.00666,51382.92969,51751.06641,0
0.55724,0.51441,0.42193,9.58743,-9.30088,-4.06636,1.00202,53696.51953,53831.96094,0
0.72588,0.23718,0.59290,3.17847,0.51373,4.84372,0.99381,25063.44141,24920.67188,0
0.36995,0.25361,0.24319,-5.82109,5.74726,7.33668,0.99466,25215.33984,25093.12695,0
0.67518,0.46580,0.43749,-10.89440,3.53432,-2.13311,1.00583,41128.91016,41389.46875,0
0.81509,0.18862,0.72345,-4.35955,7.17341,-6.55691,1.00200,168890.01562,169311.89062,1
