x,y,z,vx,vy,vz,temperature,density,pressure
-3.11256,-6.22511,-9.33766,-5.37848,-10.75696,-16.13617,274.71021,4553.15479,1250798.12500
-3.08318,-6.16637,-9.24954,-1.82672,-3.65344,-5.47952,60.88243,475.04868,28922.11719
-2.55970,-5.11941,-7.67910,-2.53425,-5.06850,-7.60283,0.53015,0.38601,0.20464
-3.15399,-6.30799,-9.46197,-2.43588,-4.87176,-7.30799,510.39041,11530.65625,5885136.50000
-3.31211,-6.62423,-9.93634,-3.81419,-7.62839,-11.44272,5.74161,13.75786,78.99234
-3.76956,-7.53912,-11.30877,-7.08551,-14.17103,-21.25656,0.43917,0.29104,0.12782
-3.21153,-6.42306,-9.63461,-1.91882,-3.83764,-5.75516,31.18566,174.15364,5431.09619
-3.15651,-6.31302,-9.46952,-5.12457,-10.24915,-15.37341,395.36230,7861.27686,3108052.50000
-3.08571,-6.17143,-9.25711,-2.06150,-4.12300,-6.18398,67.06042,549.16077,36826.94922
-3.20737,-6.41474,-9.62210,-4.48358,-8.96716,-13.45059,34.97454,206.83696,7234.02734
-3.14607,-6.29214,-9.43820,-1.93997,-3.87993,-5.81991,1562.20728,61745.91797,96459920.00000
-3.13101,-6.26201,-9.39301,-2.23147,-4.46294,-6.69445,2623.40063,134368.42188,352502208.00000
-3.14222,-6.28445,-9.42666,-6.33297,-12.66594,-18.99938,2284.96753,109224.57031,249574592.00000
-3.14920,-6.29840,-9.44759,-5.31604,-10.63208,-15.94820,930.22998,28371.72656,26392230.00000
-3.14441,-6.28882,-9.43322,-3.73379,-7.46758,-11.20165,1900.28625,82837.85938,157415648.00000
-3.12391,-6.24782,-9.37171,-3.40210,-6.80419,-10.20592,909.19788,27414.97656,24925638.00000
-3.12409,-6.24818,-9.37227,-3.75484,-7.50967,-11.26380,933.90009,28539.79688,26653318.00000
-3.12906,-6.25812,-9.38717,-4.00451,-8.00901,-12.01365,1709.65369,70690.73438,120856672.00000
-3.13916,-6.27832,-9.41748,-2.49274,-4.98549,-7.47881,2623.40063,134368.42188,352502208.00000
-3.13175,-6.26349,-9.39523,-3.34600,-6.69200,-10.03796,2841.37231,151458.10938,430348896.00000
-3.13580,-6.27160,-9.40740,-3.31671,-6.63342,-9.94991,2920.40405,157820.96875,460900992.00000
-3.13715,-6.27430,-9.41144,-3.16811,-6.33621,-9.50455,3311.13403,190530.92188,630873408.00000
-3.13672,-6.27345,-9.41017,-3.10635,-6.21269,-9.31899,3081.73291,171077.45312,527215008.00000
-3.13575,-6.27149,-9.40724,-3.08653,-6.17305,-9.25991,2879.85156,154545.17188,445067136.00000
-3.13502,-6.27003,-9.40505,-3.03528,-6.07056,-9.10575,2407.78149,118147.87500,284474272.00000
-3.13550,-6.27100,-9.40649,-2.90118,-5.80236,-8.70403,2705.05103,140690.09375,380573888.00000
-3.13864,-6.27728,-9.41591,-2.70865,-5.41729,-8.12584,2995.10742,163915.09375,490943328.00000
-3.14364,-6.28729,-9.43092,-2.77617,-5.55235,-8.32856,1690.95154,69533.96875,117578568.00000
-3.14353,-6.28706,-9.43059,-3.19404,-6.38809,-9.58203,1728.58569,71868.17969,124230304.00000
-3.13348,-6.26697,-9.40044,-3.68154,-7.36309,-11.04417,1978.60291,88011.25781,174139328.00000
-3.12920,-6.25840,-9.38759,-3.63453,-7.26906,-10.90324,1758.48010,73740.57031,129671328.00000
-3.12989,-6.25978,-9.38966,-3.10630,-6.21260,-9.31892,2029.68994,91441.81250,185598528.00000
-3.11120,-6.22240,-9.33359,-3.66354,-7.32708,-10.99048,259.20404,4173.13867,1081694.37500
-3.13776,-6.27552,-9.41328,-4.62619,-9.25237,-13.87892,2815.31396,149379.34375,420549760.00000
-3.15053,-6.30106,-9.45159,-4.44700,-8.89400,-13.34182,772.33362,21463.85156,16577254.00000
