x,y,z,vx,vy,vz,temperature,density,pressure
-747.34003,-1494.68005,-2242.01709,-1358.84766,-2717.69531,-4076.54102,0.00000,0.00000,0.00000
-908.43341,-1816.86682,-2725.30347,-1651.74756,-3303.49512,-4955.24365,0.00000,0.00000,0.00000
-1069.41699,-2138.83398,-3208.25342,-1944.44568,-3888.89136,-5833.33740,0.00000,0.00000,0.00000
-1226.04480,-2452.08960,-3678.13306,-2229.22681,-4458.45361,-6687.67480,0.00000,0.00000,0.00000
-1378.94983,-2757.89966,-4136.84814,-2507.23486,-5014.46973,-7521.70312,0.00000,0.00000,0.00000
-1537.24609,-3074.49219,-4611.74414,-2795.04956,-5590.09912,-8385.15137,0.00000,0.00000,0.00000
-1721.78027,-3443.56055,-5165.33984,-3130.56348,-6261.12695,-9391.68945,0.00000,0.00000,0.00000
-1782.85645,-3565.71289,-5348.57520,-3241.61572,-6483.23145,-9724.85449,0.00000,0.00000,0.00000
-1816.95691,-3633.91382,-5450.86816,-3303.61792,-6607.23584,-9910.85059,0.00000,0.00000,0.00000
-1824.47632,-3648.95264,-5473.43311,-3317.29126,-6634.58252,-9951.87695,0.00000,0.00000,0.00000
-1889.55640,-3779.11279,-5668.66016,-3435.61548,-6871.23096,-10306.83105,0.00000,0.00000,0.00000
-1957.78259,-3915.56519,-5873.34277,-3559.66431,-7119.32861,-10678.98535,0.00000,0.00000,0.00000
-1931.51929,-3863.03857,-5794.54932,-3511.91699,-7023.83398,-10535.72754,0.00000,0.00000,0.00000
-1834.79175,-3669.58350,-5504.35791,-3336.04712,-6672.09424,-10008.11816,0.00000,0.00000,0.00000
-1715.93066,-3431.86133,-5147.78271,-3119.93970,-6239.87939,-9359.79102,0.00000,0.00000,0.00000
-1582.28406,-3164.56812,-4746.84033,-2876.94434,-5753.88867,-8630.80957,0.00000,0.00000,0.00000
-1558.16077,-3116.32153,-4674.48096,-2833.08447,-5666.16895,-8499.25098,0.00000,0.00000,0.00000
-1515.30396,-3030.60791,-4545.88770,-2755.16235,-5510.32471,-8265.44336,0.00000,0.00000,0.00000
-1363.33728,-2726.67456,-4090.02197,-2478.86108,-4957.72217,-7436.60400,0.00000,0.00000,0.00000
-1159.42798,-2318.85596,-3478.29028,-2108.11694,-4216.23389,-6324.36133,0.00000,0.00000,0.00000
-959.61133,-1919.22266,-2878.82788,-1744.81689,-3489.63379,-5234.44043,0.00000,0.00000,0.00000
-767.58344,-1535.16687,-2302.74463,-1395.67432,-2791.34863,-4187.01172,0.00000,0.00000,0.00000
-620.52002,-1241.04004,-1861.54822,-1128.26038,-2256.52075,-3384.75928,0.00000,0.00000,0.00000
-460.99939,-921.99878,-1382.97668,-838.24921,-1676.49841,-2514.71240,0.00000,0.00000,0.00000
-293.64267,-587.28534,-880.90924,-533.96729,-1067.93457,-1601.86780,0.00000,0.00000,0.00000
-123.55387,-247.10774,-370.67868,-224.71400,-449.42801,-674.17249,0.00000,0.00000,0.00000
43.89096,87.78191,131.67422,79.73062,159.46124,239.19417,0.00000,0.00000,0.00000
204.50136,409.00272,613.51208,371.74887,743.49774,1115.26099,0.00000,0.00000,0.00000
354.79407,709.58813,1064.39099,645.00787,1290.01575,1935.03784,0.00000,0.00000,0.00000
491.48825,982.97650,1474.45703,893.54120,1787.08240,2680.60986,0.00000,0.00000,0.00000
612.87659,1225.75317,1838.62622,1114.24780,2228.49561,3342.73657,0.00000,0.00000,0.00000
719.06042,1438.12085,2157.17676,1307.30774,2614.61548,3921.91528,0.00000,0.00000,0.00000
809.76740,1619.53479,2429.28394,1472.22827,2944.45654,4416.65674,0.00000,0.00000,0.00000
883.68445,1767.36890,2651.04272,1606.62354,3213.24707,4819.84961,0.00001,0.00000,0.00000
939.29559,1878.59119,2817.88721,1707.73328,3415.46655,5123.20020,0.00000,0.00000,0.00000
977.75635,1955.51270,2933.23877,1777.66064,3555.32129,5332.92725,0.00000,0.00000,0.00000
999.05304,1998.10608,2997.14893,1816.38269,3632.76538,5449.12793,0.00000,0.00000,0.00000
1003.31689,2006.63379,3009.93384,1824.13147,3648.26294,5472.36914,0.00000,0.00000,0.00000
990.97394,1981.94788,2972.91162,1801.69104,3603.38208,5405.05322,0.00000,0.00000,0.00000
962.76337,1925.52673,2888.27295,1750.39478,3500.78955,5251.15820,0.00000,0.00000,0.00000
919.76184,1839.52368,2759.27490,1672.21313,3344.42627,5016.61670,0.00000,0.00000,0.00000
862.88489,1725.76978,2588.66284,1568.79932,3137.59863,4706.41113,0.00000,0.00000,0.00000
793.15149,1586.30298,2379.45166,1442.00952,2884.01904,4326.02441,0.00000,0.00000,0.00000
711.69507,1423.39014,2135.08154,1293.90649,2587.81299,3881.71558,0.00000,0.00000,0.00000
619.94946,1239.89893,1859.84802,1127.12122,2254.24243,3381.36279,0.00000,0.00000,0.00000
519.15692,1038.31384,1557.46875,943.83557,1887.67114,2831.50195,0.00000,0.00000,0.00000
411.11493,822.22986,1233.34875,747.39502,1494.79004,2242.19141,0.00000,0.00000,0.00000
297.39969,594.79938,892.20172,540.63727,1081.27454,1621.91528,0.00000,0.00000,0.00000
179.83525,359.67050,539.50671,326.88458,653.76917,980.65540,0.00000,0.00000,0.00000
60.14748,120.29495,180.43561,109.26945,218.53889,327.79590,0.00000,0.00000,0.00000
-60.04487,-120.08974,-180.13913,-109.26288,-218.52576,-327.79660,0.00000,0.00000,0.00000
-179.73790,-359.47580,-539.20331,-326.88751,-653.77502,-980.64417,0.00000,0.00000,0.00000
-297.29794,-594.59589,-891.89935,-540.63232,-1081.26465,-1621.90710,0.00000,0.00000,0.00000
-411.01547,-822.03094,-1233.04749,-747.39410,-1494.78821,-2242.18384,0.00000,0.00000,0.00000
-519.05457,-1038.10913,-1557.16699,-943.82953,-1887.65906,-2831.49512,0.00000,0.00000,0.00000
-619.84705,-1239.69409,-1859.54846,-1127.11523,-2254.23047,-3381.35791,0.00000,0.00000,0.00000
-711.59607,-1423.19214,-2134.78394,-1293.90686,-2587.81372,-3881.71094,0.00000,0.00000,0.00000
-793.04944,-1586.09888,-2379.15039,-1442.00476,-2884.00952,-4326.01807,0.00000,0.00000,0.00000
-862.78839,-1725.57678,-2588.35742,-1568.80286,-3137.60571,-4706.39502,0.00000,0.00000,0.00000
-919.65533,-1839.31067,-2758.97778,-1672.19922,-3344.39844,-5016.61475,0.00000,0.00000,0.00000
-962.65576,-1925.31152,-2887.97290,-1750.38110,-3500.76221,-5251.15381,0.00000,0.00000,0.00000
-990.87488,-1981.74976,-2972.60547,-1801.69055,-3603.38110,-5405.03955,0.00000,0.00000,0.00000
-1003.20929,-2006.41858,-3009.63599,-1824.11682,-3648.23364,-5472.36475,0.00000,0.00000,0.00000
-998.95068,-1997.90137,-2996.84399,-1816.37634,-3632.75269,-5449.11084,0.00000,0.00000,0.00000
-977.64746,-1955.29492,-2932.94116,-1777.64355,-3555.28711,-5332.92529,0.00000,0.00000,0.00000
-939.19318,-1878.38635,-2817.57764,-1707.72632,-3415.45264,-5123.17871,0.00000,0.00000,0.00000
-883.58191,-1767.16382,-2650.73730,-1606.61633,-3213.23267,-4819.83594,0.00001,0.00000,0.00000
-809.65851,-1619.31702,-2428.99316,-1472.21106,-2944.42212,-4416.66357,0.00000,0.00000,0.00000
-718.95721,-1437.91443,-2156.87158,-1307.30029,-2614.60059,-3921.89990,0.00000,0.00000,0.00000
-612.77612,-1225.55225,-1838.31750,-1114.24414,-2228.48828,-3342.71729,0.00000,0.00000,0.00000
-491.38132,-982.76263,-1474.16296,-893.52765,-1787.05530,-2680.61792,0.00000,0.00000,0.00000
-354.69604,-709.39209,-1064.07739,-645.00891,-1290.01782,-1935.00708,0.00000,0.00000,0.00000
-204.40207,-408.80414,-613.20715,-371.74805,-743.49609,-1115.24609,0.00000,0.00000,0.00000
-43.79533,-87.59066,-131.35980,-79.73680,-159.47360,-239.16273,0.00000,0.00000,0.00000
123.66084,247.32169,370.97256,224.72845,449.45691,674.16730,0.00000,0.00000,0.00000
293.73538,587.47076,881.20654,533.95587,1067.91174,1601.86877,0.00000,0.00000,0.00000
461.09424,922.18848,1383.27747,838.24274,1676.48547,2514.71704,0.00000,0.00000,0.00000
620.62128,1241.24255,1861.85925,1128.26465,2256.52930,3384.78491,0.00000,0.00000,0.00000
767.67737,1535.35474,2303.05518,1395.66455,2791.32910,4187.03760,0.00000,0.00000,0.00000
959.70154,1919.40308,2879.12427,1744.80298,3489.60596,5234.43652,0.00000,0.00000,0.00000
1159.52710,2319.05420,3478.57495,2108.11743,4216.23486,6324.34375,0.00000,0.00000,0.00000
1363.43677,2726.87354,4090.30371,2478.86279,4957.72559,7436.57715,0.00000,0.00000,0.00000
1515.39465,3030.78931,4546.17822,2755.14771,5510.29541,8265.43652,0.00000,0.00000,0.00000
1558.25793,3116.51587,4674.78711,2833.07959,5666.15918,8499.26367,0.00000,0.00000,0.00000
1582.38086,3164.76172,4747.12842,2876.93848,5753.87695,8630.79688,0.00000,0.00000,0.00000
1716.01624,3432.03247,5148.06543,3119.91504,6239.83008,9359.77441,0.00000,0.00000,0.00000
1834.88940,3669.77881,5504.65186,3336.04346,6672.08691,10008.10254,0.00000,0.00000,0.00000
1931.61157,3863.22314,5794.84473,3511.90454,7023.80908,10535.72363,0.00000,0.00000,0.00000
1957.87671,3915.75342,5873.62402,3559.65894,7119.31787,10678.96191,0.00000,0.00000,0.00000
1889.64990,3779.29980,5668.94824,3435.60498,6871.20996,10306.81250,0.00000,0.00000,0.00000
1824.57520,3649.15039,5473.72266,3317.29126,6634.58252,9951.86523,0.00000,0.00000,0.00000
1817.05591,3634.11182,5451.16211,3303.61792,6607.23584,9910.83691,0.00000,0.00000,0.00000
1782.94995,3565.89990,5348.85498,3241.60596,6483.21191,9724.82422,0.00000,0.00000,0.00000
1721.87793,3443.75586,5165.62061,3130.56152,6261.12305,9391.66406,0.00000,0.00000,0.00000
1537.34302,3074.68604,4612.02637,2795.04419,5590.08838,8385.12793,0.00000,0.00000,0.00000
1379.04602,2758.09204,4137.13477,2507.23096,5014.46191,7521.68799,0.00000,0.00000,0.00000
1226.14319,2452.28638,3678.42847,2229.22437,4458.44873,6687.66553,0.00000,0.00000,0.00000
1069.51306,2139.02612,3208.54175,1944.44092,3888.88184,5833.32617,0.00000,0.00000,0.00000
908.53149,1817.06299,2725.59692,1651.74426,3303.48853,4955.23730,0.00000,0.00000,0.00000
747.43671,1494.87341,2242.31226,1358.84387,2717.68774,4076.53394,0.00000,0.00000,0.00000
