x,y,z,vx,vy,vz,temperature,density,pressure,is_star
0.63446,0.62474,0.61030,-6.61043,0.11714,11.34118,0.52067,25229.70508,13142.96094,1
3.28380,-1.70399,2.54903,26.39238,-23.00466,22.52654,0.15199,11789.25586,1792.73132,1
0.75038,0.78472,0.42276,-5.08456,6.07713,11.02875,0.85228,63628.18359,54255.90625,1
-1.50826,-2.19445,1.66063,-19.06966,-28.07079,16.32958,7.28075,39122.80078,284985.78125,1
-0.00995,4.20387,-0.99154,-6.18088,36.83594,-13.80131,0.31501,11789.25586,3715.58276,1
-1.99921,2.21794,1.55628,-27.76217,20.35893,6.92024,0.92580,11789.25586,10919.94824,1
3.37592,2.33692,0.57939,31.37509,19.72906,12.55571,0.02274,13300.27930,302.62131,0
0.44899,0.67422,0.44995,6.11987,2.52893,-12.07855,0.87312,51422.97266,44921.02344,1
0.72384,0.81882,0.42779,-18.53099,6.40398,-17.04830,0.74432,90469.13281,67371.78906,1
1.51305,-2.39079,3.58868,13.47586,-27.58049,33.83643,0.27886,11789.25586,3289.24365,1
-2.44420,-4.55029,0.58119,-31.81817,-52.43352,1.79245,170.40675,11789.25586,2009973.87500,1
2.14553,-1.26212,0.29730,11.54961,-13.11147,-4.16644,1.38636,11789.25586,16352.27246,1
3.17298,0.29716,2.46823,28.11238,5.00060,22.64696,0.02824,21810.13477,616.16046,0
-0.89908,-0.41247,0.11997,-13.85509,-6.83035,-1.61145,6.02582,11808.36914,71190.69531,1
-2.27007,-1.33224,4.52395,-30.81544,-14.61069,35.22573,1.61613,23172.58594,37468.55859,1
-0.18010,1.20936,-0.73641,-0.66537,10.56793,-6.15864,1.53832,12146.83496,18695.05859,1
-1.98293,2.37101,2.80325,-26.52888,18.90445,24.90786,0.29199,11789.25586,3444.10620,1
0.68696,0.74839,0.44559,-9.15484,14.54967,26.28009,0.76176,42006.35156,32014.64648,1
0.65795,0.80186,0.31695,-2.41198,20.64832,-27.40552,0.56321,23371.69336,13169.75684,1
6.02946,-3.63439,-0.05469,57.16446,-43.93979,-4.52312,0.53248,11789.25586,6280.73340,1
0.73367,0.83116,0.38971,-2.19006,-16.42635,-21.04318,0.72413,66047.79688,47851.30859,1
2.06471,2.58577,1.24734,22.07225,17.30402,11.92372,0.03088,44210.93750,1365.89856,1
-0.89739,-0.32495,0.07365,-12.51220,-14.46747,-10.88600,5.82189,61209.05469,356530.62500,1
-0.71133,-1.01526,-3.03470,-16.18354,-10.97559,-37.40309,65.05384,11789.25586,767320.06250,1
0.99961,-0.11384,2.70483,8.63724,-3.82595,22.20184,0.14314,11789.25586,1688.35999,0
-0.25726,-1.20133,-2.05444,-8.58488,-16.18652,-23.35971,28.15326,11789.25586,332072.06250,0
