x,y,z,vx,vy,vz,temperature,density,pressure
-828.87103,-1657.74207,-2486.60938,-1358.84766,-2717.69531,-4076.54102,0.00000,0.00000,0.00000
-1007.53815,-2015.07629,-3022.61841,-1651.74756,-3303.49512,-4955.24365,0.00000,0.00000,0.00000
-1186.08374,-2372.16748,-3558.25439,-1944.44568,-3888.89136,-5833.33740,0.00000,0.00000,0.00000
-1359.79822,-2719.59644,-4079.39331,-2229.22681,-4458.45361,-6687.67480,0.00000,0.00000,0.00000
-1529.38416,-3058.76831,-4588.14893,-2507.23486,-5014.46973,-7521.70312,0.00000,0.00000,0.00000
-1704.94873,-3409.89746,-5114.85352,-2795.04956,-5590.09912,-8385.15137,0.00000,0.00000,0.00000
-1909.61426,-3819.22852,-5728.84180,-3130.56348,-6261.12695,-9391.68945,0.00000,0.00000,0.00000
-1977.35327,-3954.70654,-5932.06641,-3241.61572,-6483.23145,-9724.85449,0.00000,0.00000,0.00000
-2015.17371,-4030.34741,-6045.51855,-3303.61792,-6607.23584,-9910.85059,0.00000,0.00000,0.00000
-2023.51343,-4047.02686,-6070.54443,-3317.29126,-6634.58252,-9951.87695,0.00000,0.00000,0.00000
-2095.69360,-4191.38721,-6287.07031,-3435.61548,-6871.23096,-10306.83105,0.00000,0.00000,0.00000
-2171.36255,-4342.72510,-6514.08301,-3559.66431,-7119.32861,-10678.98535,0.00000,0.00000,0.00000
-2142.23413,-4284.46826,-6426.69385,-3511.91699,-7023.83398,-10535.72754,0.00000,0.00000,0.00000
-2034.95459,-4069.90918,-6104.84424,-3336.04712,-6672.09424,-10008.11816,0.00000,0.00000,0.00000
-1903.12671,-3806.25342,-5709.37158,-3119.93970,-6239.87939,-9359.79102,0.00000,0.00000,0.00000
-1754.90051,-3509.80103,-5264.68896,-2876.94434,-5753.88867,-8630.80957,0.00000,0.00000,0.00000
-1728.14563,-3456.29126,-5184.43701,-2833.08447,-5666.16895,-8499.25098,0.00000,0.00000,0.00000
-1680.61377,-3361.22754,-5041.81348,-2755.16235,-5510.32471,-8265.44336,0.00000,0.00000,0.00000
-1512.06873,-3024.13745,-4536.21924,-2478.86108,-4957.72217,-7436.60400,0.00000,0.00000,0.00000
-1285.91504,-2571.83008,-3857.75220,-2108.11694,-4216.23389,-6324.36133,0.00000,0.00000,0.00000
-1064.30029,-2128.60059,-3192.89478,-1744.81689,-3489.63379,-5234.44043,0.00000,0.00000,0.00000
-851.32379,-1702.64758,-2553.96533,-1395.67432,-2791.34863,-4187.01172,0.00000,0.00000,0.00000
-688.21558,-1376.43115,-2064.63354,-1128.25891,-2256.51782,-3384.75586,0.00000,0.00000,0.00000
-511.29443,-1022.58887,-1533.85925,-838.24921,-1676.49841,-2514.71240,0.00000,0.00000,0.00000
-325.68063,-651.36127,-977.02130,-533.96729,-1067.93457,-1601.86780,0.00000,0.00000,0.00000
