x,y,z,vx,vy,vz,temperature,density,pressure,is_star
0.00241,0.00241,0.00241,0.26754,0.26754,0.26754,0.98677,11789.25586,11639.07910,0
0.10094,0.10094,0.10094,0.10331,0.10331,0.10331,0.98968,11789.25586,11673.37988,0
0.20057,0.20057,0.20057,0.06347,0.06347,0.06347,0.99039,11789.25586,11681.84766,0
0.30041,0.30041,0.30041,0.04567,0.04567,0.04567,0.99071,11789.25586,11685.62793,0
0.40032,0.40032,0.40032,0.03562,0.03562,0.03562,0.99089,11789.25586,11687.75684,0
0.50026,0.50026,0.50026,0.02917,0.02917,0.02917,0.99101,11789.25586,11689.12402,0
0.60022,0.60022,0.60022,0.02469,0.02469,0.02469,0.99109,11789.25586,11690.07129,0
0.70019,0.70019,0.70019,0.02139,0.02139,0.02139,0.99115,11789.25586,11690.76855,0
0.80017,0.80017,0.80017,0.01887,0.01887,0.01887,0.99120,11789.25586,11691.30176,0
0.90015,0.90015,0.90015,0.01687,0.01687,0.01687,0.99123,11789.25586,11691.72461,0
1.00014,1.00014,1.00014,0.01525,0.01525,0.01525,0.99126,11789.25586,11692.06934,0
1.10013,1.10013,1.10013,0.01392,0.01392,0.01392,0.99128,11789.25586,11692.34766,0
1.20012,1.20012,1.20012,0.01279,0.01279,0.01279,0.99130,11789.25586,11692.58789,0
1.30011,1.30011,1.30011,0.01183,0.01183,0.01183,0.99132,11789.25586,11692.78809,0
1.40010,1.40010,1.40010,0.01101,0.01101,0.01101,0.99134,11789.25586,11692.96387,0
1.50009,1.50009,1.50009,0.01029,0.01029,0.01029,0.99135,11789.25586,11693.11719,0
1.60009,1.60009,1.60009,0.00965,0.00965,0.00965,0.99136,11789.25586,11693.24902,0
1.70008,1.70008,1.70008,0.00909,0.00909,0.00909,0.99137,11789.25586,11693.36914,0
1.80008,1.80008,1.80008,0.00859,0.00859,0.00859,0.99138,11789.25586,11693.47559,0
1.90007,1.90007,1.90007,0.00814,0.00814,0.00814,0.99139,11789.25586,11693.56836,0
2.00007,2.00007,2.00007,0.00774,0.00774,0.00774,0.99139,11789.25586,11693.65527,0
2.10007,2.10007,2.10007,0.00737,0.00737,0.00737,0.99140,11789.25586,11693.73145,0
2.20006,2.20006,2.20006,0.00704,0.00704,0.00704,0.99141,11789.25586,11693.80371,0
2.30006,2.30006,2.30006,0.00673,0.00673,0.00673,0.99141,11789.25586,11693.87012,0
2.40006,2.40006,2.40006,0.00645,0.00645,0.00645,0.99142,11789.25586,11693.92871,0
2.50006,2.50006,2.50006,0.00619,0.00619,0.00619,0.99142,11789.25586,11693.98438,0
2.60005,2.60005,2.60005,0.00595,0.00595,0.00595,0.99143,11789.25586,11694.03320,0
2.70005,2.70005,2.70005,0.00573,0.00573,0.00573,0.99143,11789.25586,11694.07910,0
2.80005,2.80005,2.80005,0.00552,0.00552,0.00552,0.99143,11789.25586,11694.12402,0
2.90005,2.90005,2.90005,0.00533,0.00533,0.00533,0.99144,11789.25586,11694.16406,0
3.00005,3.00005,3.00005,0.00515,0.00515,0.00515,0.99144,11789.25586,11694.20215,0
3.10004,3.10004,3.10004,0.00498,0.00498,0.00498,0.99144,11789.25586,11694.23730,0
3.20004,3.20004,3.20004,0.00482,0.00482,0.00482,0.99145,11789.25586,11694.27051,0
3.30004,3.30004,3.30004,0.00467,0.00467,0.00467,0.99145,11789.25586,11694.30176,0
3.40004,3.40004,3.40004,0.00453,0.00453,0.00453,0.99145,11789.25586,11694.33203,0
3.50004,3.50004,3.50004,0.00440,0.00440,0.00440,0.99145,11789.25586,11694.36133,0
3.60004,3.60004,3.60004,0.00427,0.00427,0.00427,0.99146,11789.25586,11694.38672,0
3.70004,3.70004,3.70004,0.00415,0.00415,0.00415,0.99146,11789.25586,11694.41309,0
3.80004,3.80004,3.80004,0.00404,0.00404,0.00404,0.99146,11789.25586,11694.43555,0
3.90004,3.90004,3.90004,0.00394,0.00394,0.00394,0.99146,11789.25586,11694.45801,0
