x,y,z,vx,vy,vz,temperature,density,pressure,is_star
0.77425,0.71545,0.47369,-4.07776,12.80904,-12.46694,0.49789,45692.84375,22761.16797,1
2.38803,-0.92787,1.78385,28.00478,-24.09399,23.93269,0.28021,11789.25586,3305.13232,1
0.54718,0.47352,0.41789,13.42576,18.47174,17.14789,1.23132,134442.34375,165624.00000,1
-0.91744,-1.34215,1.17570,-23.19334,-25.11506,15.79590,3.93185,43819.02344,172375.87500,1
0.20012,2.95363,-0.52265,-6.57315,39.06799,-14.67314,0.46974,11789.25586,5540.62158,1
-1.05296,1.52656,1.31745,-29.73626,21.61999,7.64030,0.93120,11789.25586,10983.64258,1
2.36076,1.54271,0.37178,31.77471,23.48667,1.52918,0.09125,11789.25586,1076.27466,0
0.84678,0.57725,0.29036,-7.60396,0.44611,10.56588,0.80848,79004.42969,63905.09766,1
0.53883,0.44055,0.43711,13.71725,3.56411,-7.77871,1.09879,115136.84375,126574.35156,1
1.05950,-1.45781,2.44355,14.01325,-29.04150,35.65937,0.44320,11789.25586,5227.66602,1
-1.37162,-2.78255,0.52100,-33.22200,-54.76132,1.85268,28.54423,11789.25586,336683.53125,1
1.74356,-0.80493,0.43958,12.95795,-14.75679,-4.47642,1.23587,11789.25586,14577.31543,1
2.19963,0.20930,1.69479,29.57714,4.58279,23.77706,0.09984,21921.17969,2189.76880,0
-0.51419,-0.09669,0.07763,-19.64791,-9.99687,-3.08361,3.96316,11810.49902,46830.27344,1
-1.14940,-0.78797,3.17710,-33.84675,-16.50991,41.42014,1.33000,16890.41211,22475.50586,1
-0.12329,0.89105,-0.50995,-3.11010,9.50417,-8.38482,1.60094,11789.25586,18883.30078,1
-1.08175,1.73250,1.96133,-28.18814,19.81479,26.12513,0.43777,11789.25586,5163.51221,1
0.60568,0.66857,0.59576,-0.90596,10.31680,1.81216,0.78084,11789.25586,9210.17188,1
0.82859,0.48768,0.70777,3.30109,3.04326,5.53563,0.48635,23395.01953,11383.91211,1
4.10532,-2.15544,0.09780,59.47417,-45.70867,-4.72367,0.65837,11789.25586,7765.57520,1
0.53428,0.46395,0.43387,34.08322,12.70781,-5.53353,1.05334,68211.28906,71885.33594,1
1.46102,1.89031,0.93783,17.40656,13.65848,10.68262,0.09343,92437.91406,8640.53027,1
-0.48099,-0.03519,0.07836,-4.67288,-10.74823,2.15514,3.69947,78491.54688,290522.09375,1
-0.16541,-0.64240,-1.76570,-16.91227,-11.68128,-39.64873,15.87148,11789.25586,187206.50000,1
0.70909,0.02077,1.93416,8.96146,-4.40634,24.80005,0.27148,11789.25586,3202.19214,0
0.03422,-0.63726,-1.26199,-9.76701,-18.88159,-25.13258,9.71242,11789.25586,114559.49219,0
0.47936,0.45646,0.45690,16.56602,16.34901,-2.98874,1.14375,33135.36719,37917.50781,1
1.84341,-0.05452,1.33924,24.41344,-1.10362,17.24824,0.20774,11789.25586,2450.28687,0
-1.80541,2.98173,2.68477,-41.09329,41.87942,38.75866,0.18575,11789.25586,2190.97290,1
0.61553,0.77997,0.42787,-4.82099,-10.03750,-5.11515,0.74210,11789.25586,8753.12793,0
0.82942,0.48502,0.70673,2.61167,2.39008,2.62269,0.48599,23395.01953,11375.37012,1
4.32589,-0.65411,-2.14444,61.15444,-17.04773,-43.85063,0.95252,23191.66406,22101.60938,1
1.37928,0.01689,1.58017,7.58673,-0.50789,12.03094,0.37165,11789.25586,4383.68164,0
-1.12690,1.84309,2.17863,-20.29482,26.10710,30.54120,0.24605,21890.69531,5388.83887,1
-1.49683,0.19392,-1.18424,-38.00529,-7.36468,-24.94382,13.77328,14787.42578,203773.17188,1
0.54771,0.45856,0.42888,6.55264,3.46610,-9.14505,1.17721,162819.12500,191768.23438,1
2.02890,0.35458,1.83132,26.64895,2.04391,27.85790,0.09018,11789.25586,1063.71252,0
-2.52393,-2.13959,-0.36152,-54.53931,-45.89926,-10.07070,68.85177,14220.31641,979583.75000,1
0.52570,0.47741,0.40283,-13.96100,21.64967,5.69296,1.16433,122454.27344,142648.32812,1
-2.06061,1.11476,-0.51120,-38.79582,13.77417,-13.65859,4.88483,11789.25586,57617.28125,1
3.29851,1.57081,-3.13233,45.79237,17.46231,-58.62913,0.81856,17222.63672,14104.83301,1
0.33011,0.29973,0.31741,-12.56725,-0.19237,0.69819,1.53111,11789.25586,18059.62695,1
1.15759,2.54609,1.62099,20.48902,29.72163,18.39714,0.04243,38712.20312,1643.30017,1
-1.54994,0.45904,5.01417,-36.99265,-1.24492,79.38058,0.18526,11789.25586,2185.18970,1
0.55947,0.43523,0.43561,-7.53992,2.06124,-2.75550,1.18707,64888.98047,77066.29688,1
1.30846,2.00304,1.21120,15.72765,21.70300,12.12674,0.07861,11789.25586,927.16766,1
-0.36392,-1.66599,0.67007,-18.00885,-37.03289,4.51973,6.92823,13458.71777,93291.79688,0
2.52154,-0.60735,1.63751,26.78378,-12.54921,14.19613,0.27022,11789.25586,3187.33081,1
2.83639,-1.23279,-2.04193,43.36232,-25.58196,-38.78724,2.33708,11789.25586,27566.17383,1
3.20153,-0.12377,-0.10501,42.96581,-10.31883,-7.90003,0.34681,11789.25586,4090.62231,1
-0.01669,0.35630,0.23287,-12.94989,-2.60856,-7.08804,1.85035,11789.25586,21825.19336,0
0.81782,0.69987,0.57269,-13.71158,6.75635,-9.08793,0.43260,19195.56055,8308.06055,1
1.34197,0.98692,0.28704,6.96111,8.33102,-3.99880,0.40308,40458.28125,16316.02637,0
1.51442,0.33508,1.35264,11.65213,6.02810,8.52372,0.32302,23357.58203,7548.76416,0
0.07083,-1.65075,-0.79609,-2.79398,-32.19113,-17.63113,9.27789,11789.25586,109434.17188,1
2.32856,0.94183,0.53029,24.57441,5.97032,1.61815,0.19256,21074.96094,4060.16943,1
0.21291,-0.27394,0.91897,-10.07615,-0.70805,-2.14993,1.73571,11789.25586,20472.99023,1
2.08176,-1.56249,1.52843,31.26685,-25.00081,22.42622,0.45070,34473.32031,15544.72852,1
0.85370,0.60890,0.30048,-8.18655,15.10978,19.36715,0.78370,62294.18359,48844.55859,1
0.51401,0.47939,0.40456,22.67084,-4.96638,-3.93193,1.15280,25557.61523,29477.63477,1
0.77545,0.33292,0.67863,14.39339,16.26641,-1.32031,0.57625,11803.67285,6805.25635,1
1.43423,0.57449,2.13875,13.74045,1.38624,25.95249,0.14661,11789.25586,1729.28137,1
0.52032,0.62501,0.50205,4.83295,-0.64176,-10.61835,0.96754,21646.39258,20954.30469,1
0.84244,0.68172,0.39405,12.41705,8.40440,-9.35047,0.52378,11900.01172,6236.07324,1
-0.18955,-1.67215,-2.34458,-14.04871,-37.50447,-46.13136,42.12479,11789.25586,496868.31250,1
0.57608,0.47460,0.41909,28.25984,8.78934,2.70794,1.10537,181946.84375,201219.56250,1
0.87497,0.59923,0.53732,-4.56453,-7.16413,-14.31709,0.46093,11789.25586,5436.73438,1
1.42686,0.41719,1.43054,10.71494,-3.69856,13.37730,0.25934,11789.25586,3058.94751,0
-0.21248,-0.75802,-0.79362,-18.68343,-14.38803,-26.02170,11.15548,11789.25586,131580.62500,0
-0.55683,2.07677,0.49226,-12.16169,30.00657,2.14085,0.46034,11789.25586,5429.72412,0
-0.59168,2.09513,1.44794,-18.41028,23.89231,16.42263,0.37374,11789.25586,4408.33398,1
0.56352,0.47804,0.41252,14.59023,0.62519,-2.76525,1.00080,156521.65625,156725.76562,0
2.99575,0.66033,0.52856,44.12798,8.80260,7.51400,0.09731,33599.18750,3271.30176,1
2.39430,0.57047,0.92856,25.44031,1.89488,7.18892,0.19795,20156.90234,3992.01733,1
-1.55659,2.29915,-2.17328,-40.47635,34.34706,-48.72243,7.69913,11789.25586,90812.38281,1
-0.35507,0.56545,0.24067,-4.67712,2.81106,-0.03760,1.46017,11789.25586,17222.94531,0
-1.25335,1.22320,-0.71796,-29.29524,10.50122,-18.10453,4.39627,11789.25586,51854.69141,0
0.53699,0.46711,0.43504,20.01444,-1.99794,-6.01485,1.13695,113983.92188,129658.50781,1
0.83275,0.93276,0.60653,-1.60774,11.06478,-8.08964,0.35629,11789.25586,4202.45068,1
-1.82697,0.20592,3.57147,-41.03727,-5.96361,53.65302,0.73945,11789.25586,8721.91699,1
0.58791,0.36909,0.49096,14.80308,14.09857,14.44633,1.17587,11789.25684,13869.55273,1
1.50619,1.87723,0.95794,24.43028,25.13580,5.07402,0.08907,18130.29688,1615.73352,1
0.84956,0.50870,0.48059,-10.78053,15.85464,-6.24649,0.78132,11789.25586,9215.83008,1
0.05944,0.34298,0.19774,-11.11081,-5.29712,-7.34469,1.95935,11789.25586,23110.77930,1
3.72183,1.31148,0.13571,56.17944,17.26259,-1.63542,0.05058,11789.25586,596.63153,1
-0.83150,-0.19756,-0.31515,-20.23080,-12.39949,-7.39486,6.98747,11789.25586,82418.23438,0
1.02380,0.97891,2.08602,2.69353,13.31103,17.89704,0.18193,11789.25586,2145.89722,1
-1.23023,1.11269,-2.00393,-20.28603,15.30183,-35.08220,7.38474,33016.66406,243941.46875,1
2.46508,-1.59754,-1.80610,31.03110,-35.55969,-36.45849,4.91850,11789.25586,58014.43359,1
0.59925,0.43516,0.46859,-3.16246,-2.74244,5.62072,1.11709,41087.81641,45921.84375,1
2.07346,-1.54852,1.53468,34.94033,-38.78234,18.12073,0.45520,47838.78516,21786.93164,1
1.06189,0.36056,-2.19580,6.65489,-1.19511,-40.94793,4.59811,11789.25586,54235.46094,1
0.25734,-1.53597,1.67301,-10.31009,-27.57397,14.04704,2.32100,11789.25586,27376.52734,1
-1.74996,2.68807,0.80855,-34.24586,41.13929,7.92207,0.55269,11789.25586,6519.05469,1
0.81251,2.22693,-3.98921,3.64263,29.44711,-75.50665,4.83813,11789.25586,57066.53906,1
-1.79191,3.65051,-0.89181,-45.25582,58.95797,-28.86354,1.59214,11789.25586,18779.56445,1
-0.91706,-1.34914,1.17609,-20.77357,-24.98066,13.34187,4.00682,42191.72656,169139.12500,1
-0.23593,0.67356,0.02584,-7.84520,-1.52731,-5.68249,1.92200,11789.25586,22670.32227,1
1.49024,0.14817,2.31380,10.47299,0.33206,24.49037,0.19773,11789.25586,2332.26001,1
0.74380,0.93664,0.43948,2.85670,17.84473,-11.46040,0.45701,23026.53711,10528.54492,1
-0.02783,-0.95354,0.86511,-8.87686,-19.64832,4.18755,2.76419,11789.25586,32604.05273,1
-0.71178,-2.19162,-4.24111,-27.56081,-41.57756,-85.89011,280.41479,22810.20117,6399518.00000,1
1.47157,1.87066,0.94276,30.57276,16.12284,0.72797,0.09532,57888.17969,5520.90771,1
3.45759,1.88567,-2.33612,47.46265,22.73899,-44.38654,0.33274,22507.06641,7492.65869,1
-0.47342,0.76708,2.90868,-20.17996,12.16143,40.02380,0.34058,31962.46094,10891.35059,1
-2.19152,0.12908,2.60244,-41.91908,-3.23323,39.89710,1.26373,11789.25586,14905.85352,1
