x,y,z,vx,vy,vz,temperature,density,pressure,is_star
0.69238,0.58915,0.45949,13.35147,-26.08591,14.44275,0.58243,17468.90039,10179.42188,1
0.62066,0.51007,0.36664,-5.23250,-15.83441,-18.60499,0.90904,78394.46875,71299.57812,1
0.49012,0.61537,0.29617,-25.08425,-0.56187,2.42999,1.27283,12030.16992,15320.03418,1
1.76871,2.74132,0.18243,49.45751,81.23462,-2.00191,0.07594,11789.25586,895.77289,1
0.61458,0.49685,0.42824,-6.92036,4.29510,-0.61788,0.97759,99215.62500,97040.73438,1
-1.97318,1.65327,0.30418,-65.24179,34.35658,-11.60576,3.07927,11789.25586,36320.42969,1
0.59419,0.04519,0.70893,13.71172,-13.22339,-5.35523,0.67297,12138.02539,8172.57031,0
0.50594,0.06784,0.64105,6.13476,-15.68103,4.84734,1.13422,11789.25586,13378.27148,0
1.75964,0.09755,0.22097,12.30038,-0.56672,-9.30166,0.71566,11789.25586,8441.30078,1
0.83375,0.55194,0.48763,-4.28090,11.17866,-6.99564,0.50025,11789.25586,5900.54590,1
-0.58795,-0.86137,0.28932,-24.54324,-23.92357,-3.49263,5.89369,11789.25586,69517.00781,1
0.83212,0.14070,0.68524,-27.88389,-22.69274,2.07311,1.02513,20652.55664,21182.04688,1
0.52384,0.33381,0.46171,14.47481,15.65551,5.07031,0.66772,13278.29395,8870.68066,0
0.39855,0.31839,0.37644,16.75445,-28.42136,-2.32557,1.36577,35370.09375,48331.68750,0
0.87526,0.27124,0.31255,-8.07418,6.62666,-15.04323,1.15551,11789.25586,13629.41602,0
0.31652,0.24944,0.36997,-12.65567,-14.50947,13.21405,1.02647,47534.08203,48816.90625,1
0.46729,0.34430,0.49852,1.31384,-15.20481,-9.51326,1.05390,18784.09961,19806.47266,1
0.72595,0.55330,0.40720,3.16942,-18.92380,15.20999,0.88521,13112.53906,11613.09473,1
0.25554,0.33815,0.16076,-16.23383,-5.43414,5.33546,1.15204,14625.93652,16858.02734,0
1.43223,2.47770,1.07290,18.11944,41.97301,14.75139,0.08741,11789.25586,1031.01587,1
0.57539,0.09139,0.74672,7.12526,12.41460,-6.01137,1.06694,12138.02539,12957.07617,1
2.97131,4.34824,2.63441,65.27379,97.27182,55.94894,0.00136,11789.25586,16.08292,1
-1.57835,-0.21914,1.04031,-46.77823,-16.08701,10.00192,4.56393,11789.25586,53832.21094,0
0.79034,0.15099,0.70300,-6.51778,6.09815,7.27253,1.03076,43987.07031,45362.64062,1
0.67311,0.61680,0.48919,1.83256,-8.82107,22.70617,0.49622,17234.34766,8556.33008,0
0.59499,0.30069,0.21860,16.68949,5.19144,6.59788,1.39671,11789.25586,16474.42383,1
2.47311,4.04821,2.12190,38.12831,88.53526,31.96109,0.00697,11789.25586,82.22306,0
0.33283,0.27057,0.23854,-1.67848,7.01564,-2.44868,0.97902,25909.95312,25379.10742,0
0.54686,0.42735,0.35687,-10.58444,8.27137,11.79419,1.02136,28438.98242,29061.08594,1
0.90947,0.15806,0.73640,-2.52807,-12.52323,8.44664,0.75398,30320.82617,22872.60156,0
0.63711,0.53896,0.42508,51.10629,28.57967,19.57968,0.63855,163624.95312,104535.72656,1
0.84498,0.12218,0.68983,28.92732,-32.94210,-12.37752,0.87861,60294.72266,53001.87109,0
0.74583,0.10415,0.62987,-1.93476,18.92981,0.86949,1.01157,11789.25586,11931.57910,0
0.70094,0.54690,0.33691,4.69209,-20.84404,-12.24619,0.59901,18103.52734,10849.70215,1
0.39425,0.48890,0.24901,-5.61437,14.56003,-16.15916,1.31640,13335.36621,17563.40430,1
0.77743,0.15005,0.58331,14.51107,-11.68425,1.37115,1.12324,13836.50586,15549.54297,1
0.29824,0.31778,0.21011,7.44779,0.39179,10.94726,0.90688,24817.14453,22517.50000,0
0.61817,0.55595,0.34164,-13.80778,-19.47494,0.49942,1.02388,17853.00781,18288.51172,1
0.73525,0.25156,0.64645,2.67369,2.79515,-33.11693,1.01137,54736.66797,55386.67969,0
0.57189,0.11187,0.37515,9.97243,-1.45178,8.61425,0.94009,11789.25586,11088.45215,1
0.59057,0.48795,0.45132,-11.75713,-16.43687,-27.02904,0.93574,30030.37500,28114.79883,1
0.69463,0.29422,-0.04913,2.00081,-10.14362,-11.73008,1.55860,11789.25586,18383.93945,1
0.46662,0.68757,0.06802,9.49892,1.94697,4.89463,0.71251,11789.25586,8404.16406,1
0.57146,0.49419,0.39928,6.83641,15.24519,-25.88192,0.98384,90928.08594,89503.01562,1
0.85433,0.11561,0.69363,15.67960,6.06718,-3.32887,1.03036,48862.30078,50370.92188,1
0.55956,0.41727,0.42686,18.48296,19.20296,-11.63562,0.66454,37264.59375,24776.06836,1
0.77324,0.47102,0.53908,29.73137,-3.20773,23.61014,0.87177,11823.95605,10312.92676,0
0.81455,0.23526,0.69732,16.85242,11.51506,-19.78600,0.91771,84269.89062,77373.73438,1
0.36952,0.37140,0.37804,-14.07372,-5.83041,16.22347,0.83542,26092.37109,21808.90039,1
0.56526,0.50593,0.39892,16.34194,-18.14031,-8.15222,0.95602,46899.01562,44858.87891,1
0.28475,0.37735,0.25612,-38.31342,9.19987,-33.39783,1.47714,46007.16797,67993.14844,1
0.26140,0.28204,0.33908,-0.97707,-19.25346,-5.67406,0.98951,30785.61133,30477.84375,1
