x,y,z,vx,vy,vz,temperature,density,pressure,is_star
0.03081,0.03081,0.03081,1.04075,1.04075,1.04075,0.91196,11789.25586,10756.67969,0
0.11056,0.11056,0.11056,0.29993,0.29993,0.29993,0.94968,11789.25586,11201.65039,0
0.20674,0.20674,0.20674,0.20561,0.20561,0.20561,0.95697,11789.25586,11287.56055,0
0.30491,0.30491,0.30491,0.15268,0.15268,0.15268,0.96046,11789.25586,11328.82910,0
0.40386,0.40386,0.40386,0.12092,0.12092,0.12092,0.96249,11789.25586,11352.75879,0
0.50317,0.50317,0.50317,0.09992,0.09992,0.09992,0.96381,11789.25586,11368.33984,0
0.60269,0.60269,0.60269,0.08506,0.08506,0.08506,0.96474,11789.25586,11379.26953,0
0.70234,0.70234,0.70234,0.07397,0.07397,0.07397,0.96543,11789.25586,11387.37012,0
0.80206,0.80206,0.80206,0.06542,0.06542,0.06542,0.96596,11789.25586,11393.59180,0
0.90185,0.90185,0.90185,0.05862,0.05862,0.05862,0.96637,11789.25586,11398.52930,0
1.00167,1.00167,1.00167,0.05308,0.05308,0.05308,0.96671,11789.25586,11402.54492,0
1.10153,1.10153,1.10153,0.04849,0.04849,0.04849,0.96700,11789.25586,11405.87012,0
1.20140,1.20140,1.20140,0.04460,0.04460,0.04460,0.96723,11789.25586,11408.67188,0
1.30130,1.30130,1.30130,0.04131,0.04131,0.04131,0.96744,11789.25586,11411.04980,0
1.40121,1.40121,1.40121,0.03845,0.03845,0.03845,0.96761,11789.25586,11413.11621,0
1.50113,1.50113,1.50113,0.03593,0.03593,0.03593,0.96776,11789.25586,11414.92285,0
1.60106,1.60106,1.60106,0.03376,0.03376,0.03376,0.96790,11789.25586,11416.49023,0
1.70100,1.70100,1.70100,0.03181,0.03181,0.03181,0.96802,11789.25586,11417.89551,0
1.80094,1.80094,1.80094,0.03008,0.03008,0.03008,0.96812,11789.25586,11419.14355,0
1.90089,1.90089,1.90089,0.02848,0.02848,0.02848,0.96822,11789.25586,11420.28223,0
2.00085,2.00085,2.00085,0.02710,0.02710,0.02710,0.96830,11789.25586,11421.28516,0
2.10081,2.10081,2.10081,0.02582,0.02582,0.02582,0.96838,11789.25586,11422.20020,0
2.20077,2.20077,2.20077,0.02464,0.02464,0.02464,0.96845,11789.25586,11423.04688,0
2.30074,2.30074,2.30074,0.02357,0.02357,0.02357,0.96852,11789.25586,11423.82031,0
2.40071,2.40071,2.40071,0.02259,0.02259,0.02259,0.96858,11789.25586,11424.52051,0
2.50068,2.50068,2.50068,0.02169,0.02169,0.02169,0.96863,11789.25586,11425.16797,0
2.60065,2.60065,2.60065,0.02084,0.02084,0.02084,0.96868,11789.25586,11425.77734,0
2.70063,2.70063,2.70063,0.02007,0.02007,0.02007,0.96873,11789.25586,11426.33008,0
2.80061,2.80061,2.80061,0.01934,0.01934,0.01934,0.96878,11789.25586,11426.85254,0
2.90059,2.90059,2.90059,0.01868,0.01868,0.01868,0.96882,11789.25586,11427.32910,0
3.00057,3.00057,3.00057,0.01804,0.01804,0.01804,0.96885,11789.25586,11427.78809,0
3.10055,3.10055,3.10055,0.01745,0.01745,0.01745,0.96889,11789.25586,11428.21191,0
3.20053,3.20053,3.20053,0.01691,0.01691,0.01691,0.96892,11789.25586,11428.60352,0
3.30051,3.30051,3.30051,0.01636,0.01636,0.01636,0.96896,11789.25586,11428.98828,0
3.40050,3.40050,3.40050,0.01589,0.01589,0.01589,0.96899,11789.25586,11429.32812,0
3.50048,3.50048,3.50048,0.01541,0.01541,0.01541,0.96901,11789.25586,11429.66992,0
3.60047,3.60047,3.60047,0.01500,0.01500,0.01500,0.96904,11789.25586,11429.97559,0
3.70046,3.70046,3.70046,0.01454,0.01454,0.01454,0.96907,11789.25586,11430.29395,0
3.80045,3.80045,3.80045,0.01418,0.01418,0.01418,0.96909,11789.25586,11430.55859,0
3.90043,3.90043,3.90043,0.01382,0.01382,0.01382,0.96911,11789.25586,11430.81934,0
4.00042,4.00042,4.00042,0.01343,0.01343,0.01343,0.96913,11789.25586,11431.09570,0
4.10041,4.10041,4.10041,0.01309,0.01309,0.01309,0.96916,11789.25586,11431.33594,0
4.20040,4.20040,4.20040,0.01280,0.01280,0.01280,0.96917,11789.25586,11431.55078,0
4.30039,4.30039,4.30039,0.01248,0.01248,0.01248,0.96919,11789.25586,11431.77930,0
4.40038,4.40038,4.40038,0.01218,0.01218,0.01218,0.96921,11789.25586,11431.99512,0
4.50037,4.50037,4.50037,0.01190,0.01190,0.01190,0.96923,11789.25586,11432.18848,0
4.60036,4.60036,4.60036,0.01163,0.01163,0.01163,0.96924,11789.25586,11432.38867,0
4.70036,4.70036,4.70036,0.01138,0.01138,0.01138,0.96926,11789.25586,11432.57031,0
4.80035,4.80035,4.80035,0.01112,0.01112,0.01112,0.96928,11789.25586,11432.74805,0
4.90034,4.90034,4.90034,0.01090,0.01090,0.01090,0.96929,11789.25586,11432.92188,0
5.00033,5.00033,5.00033,0.01066,0.01066,0.01066,0.96930,11789.25586,11433.08105,0
5.10033,5.10033,5.10033,0.01044,0.01044,0.01044,0.96932,11789.25586,11433.24121,0
5.20032,5.20032,5.20032,0.01024,0.01024,0.01024,0.96933,11789.25586,11433.38770,0
5.30031,5.30031,5.30031,0.01003,0.01003,0.01003,0.96934,11789.25586,11433.53613,0
5.40031,5.40031,5.40031,0.00985,0.00985,0.00985,0.96935,11789.25586,11433.66797,0
5.50030,5.50030,5.50030,0.00961,0.00961,0.00961,0.96937,11789.25586,11433.82715,0
5.60030,5.60030,5.60030,0.00947,0.00947,0.00947,0.96938,11789.25586,11433.94141,0
5.70029,5.70029,5.70029,0.00931,0.00931,0.00931,0.96939,11789.25586,11434.05762,0
5.80029,5.80029,5.80029,0.00913,0.00913,0.00913,0.96940,11789.25586,11434.18457,0
5.90028,5.90028,5.90028,0.00895,0.00895,0.00895,0.96941,11789.25586,11434.30859,0
6.00028,6.00028,6.00028,0.00879,0.00879,0.00879,0.96942,11789.25586,11434.42578,0
6.10027,6.10027,6.10027,0.00863,0.00863,0.00863,0.96943,11789.25586,11434.53418,0
6.20027,6.20027,6.20027,0.00851,0.00851,0.00851,0.96943,11789.25586,11434.62695,0
6.30026,6.30026,6.30026,0.00835,0.00835,0.00835,0.96944,11789.25586,11434.74023,0
6.40026,6.40026,6.40026,0.00820,0.00820,0.00820,0.96945,11789.25586,11434.84766,0
6.50025,6.50025,6.50025,0.00808,0.00808,0.00808,0.96946,11789.25586,11434.93359,0
