x,y,z,vx,vy,vz,temperature,density,pressure,is_star
19.78317,39.56634,50.06669,46.29392,92.58784,115.56407,0.93751,1.00000,0.93798,0
12.51357,25.02713,37.59341,28.40101,56.80203,85.38878,0.93751,1.00000,0.93798,0
11.26773,22.53545,43.74289,25.89826,51.79651,102.58127,0.93751,1.00000,0.93798,0
12.04027,24.08054,36.40678,27.76755,55.53511,84.05658,0.93751,1.00000,0.93798,0
6.81756,13.63512,19.98425,15.55060,31.10119,45.37811,0.93751,1.00000,0.93798,0
5.95636,11.91273,17.52930,13.57058,27.14116,39.87595,0.93751,1.00000,0.93798,0
1.63151,3.26302,5.75922,3.08358,6.16715,11.87357,0.93751,1.00000,0.93798,0
7.69092,15.38184,11.11442,18.49293,36.98586,25.45664,0.93751,1.00000,0.93798,0
-0.27311,-0.54623,-2.73726,-1.99946,-3.99892,-11.21180,0.93751,1.00000,0.93798,0
0.44523,0.89046,1.09529,0.91780,1.83560,1.87027,0.93751,1.00000,0.93798,0
-1.83227,-3.66454,-4.61710,-11.60404,-23.20808,12.33134,0.93751,1.00000,0.93798,0
-6.76957,-13.53913,-9.97315,-16.41631,-32.83263,-23.33963,0.93751,1.00000,0.93798,0
-13.00374,-26.00747,-18.65546,-30.81314,-61.62627,-43.90116,0.93751,1.00000,0.93798,0
-9.71304,-19.42608,-29.13067,-22.73886,-45.47771,-68.19890,0.93751,1.00000,0.93798,0
-5.34274,-10.68548,-33.76003,-11.24269,-22.48539,-78.24780,0.93751,1.00000,0.93798,0
-22.49869,-44.99737,-67.49403,-52.57914,-105.15827,-157.73224,0.93751,1.00000,0.93798,0
-32.21253,-64.42506,-96.66029,-75.20885,-150.41769,-225.68622,0.93751,1.00000,0.93798,0
-46.67918,-93.35835,-140.04317,-108.90374,-217.80748,-326.72443,0.93751,1.00000,0.93798,0
-66.38671,-132.77342,-197.91460,-154.71051,-309.42102,-461.15903,0.93751,1.00000,0.93798,0
-99.86163,-199.72325,-299.57809,-232.83257,-465.66513,-698.47864,0.93751,1.00000,0.93798,0
-131.49619,-262.99237,-395.63388,-306.17218,-612.34436,-921.09546,0.93751,1.00000,0.93798,0
-157.92001,-315.84003,-473.76651,-368.09402,-736.18805,-1104.29724,0.93751,1.00000,0.93798,0
-126.53197,-253.06393,-380.39288,-294.85422,-589.70844,-886.44110,0.93751,1.00000,0.93798,0
-73.38135,-146.76270,-220.30238,-171.10303,-342.20605,-513.67834,0.93751,1.00000,0.93798,0
-28.65858,-57.31716,-85.97302,-66.91463,-133.82925,-200.73448,0.93751,1.00000,0.93798,0
7.76898,15.53797,23.16752,18.21311,36.42622,54.35024,0.93751,1.00000,0.93798,0
33.41380,66.82760,100.30489,77.71933,155.43866,233.30476,0.93751,1.00000,0.93798,0
59.54868,119.09737,178.67125,138.64130,277.28259,415.98236,0.93751,1.00000,0.93798,0
82.58415,165.16830,247.73042,192.31015,384.62030,576.88049,0.93751,1.00000,0.93798,0
101.59564,203.19128,304.69400,236.61589,473.23178,709.63306,0.93751,1.00000,0.93798,0
115.87963,231.75926,347.73157,269.89948,539.79895,809.91376,0.93751,1.00000,0.93798,0
126.09986,252.19972,378.28555,293.75772,587.51544,881.24060,0.93751,1.00000,0.93798,0
134.12076,268.24152,402.91632,312.55353,625.10706,938.86725,0.93751,1.00000,0.93798,0
134.91882,269.83765,403.87094,314.14249,628.28497,940.36078,0.93751,1.00000,0.93798,0
135.79417,271.58835,421.82626,316.18628,632.37256,983.02789,0.93751,1.00000,0.93798,0
144.05591,288.11182,423.83328,335.92090,671.84180,987.85681,0.93751,1.00000,0.93798,0
137.44664,274.89328,413.12561,320.23227,640.46454,962.58740,0.93751,1.00000,0.93798,0
131.21974,262.43948,392.84537,305.57129,611.14258,914.74609,0.93751,1.00000,0.93798,0
129.17770,258.35541,387.18292,300.96301,601.92603,902.05945,0.93751,1.00000,0.93798,0
121.33567,242.67134,363.98364,282.61749,565.23499,847.79816,0.93751,1.00000,0.93798,0
113.19307,226.38614,339.55844,263.64682,527.29364,790.89172,0.93751,1.00000,0.93798,0
103.37750,206.75500,310.25562,240.75867,481.51733,722.56152,0.93751,1.00000,0.93798,0
92.51318,185.02635,277.40213,215.45517,430.91034,646.04535,0.93751,1.00000,0.93798,0
80.49315,160.98630,241.79037,187.45331,374.90662,563.08313,0.93751,1.00000,0.93798,0
69.44838,138.89676,210.78423,161.79289,323.58578,491.21375,0.93751,1.00000,0.93798,0
55.15828,110.31657,165.67857,128.41316,256.82632,385.71414,0.93751,1.00000,0.93798,0
42.57395,85.14790,127.39439,99.08901,198.17802,296.50424,0.93751,1.00000,0.93798,0
29.97399,59.94798,90.04408,69.71695,139.43390,209.43742,0.93751,1.00000,0.93798,0
12.58981,25.17962,47.01682,28.21093,56.42186,107.86242,0.93751,1.00000,0.93798,0
0.70513,1.41026,8.26588,1.28623,2.57246,18.31093,0.93751,1.00000,0.93798,0
1.51751,3.03503,-15.60381,3.82993,7.65986,-36.54247,0.93751,1.00000,0.93798,0
-21.38144,-42.76287,-41.41036,-50.56363,-101.12726,-94.54315,0.93751,1.00000,0.93798,0
