x,y,z,vx,vy,vz,temperature,density,pressure,is_star
0.57943,0.61073,0.07190,-2.19019,-18.09775,9.52248,1.09849,11789.25586,12956.90234,1
0.44960,0.40554,0.26596,-4.32188,-16.38328,-15.24627,1.29062,12108.52246,15635.27832,1
0.49579,0.48156,0.39941,-0.88630,34.73779,-69.82677,0.87879,109532.27344,96304.49219,1
0.50309,0.56227,0.76574,-7.43072,6.19498,-5.46389,0.70212,13219.83691,9286.50781,1
1.49146,0.10394,1.62527,25.50903,-10.80509,31.62963,0.25855,11789.25586,3049.58545,1
0.46428,0.44958,0.34229,-2.50020,7.87449,0.82103,1.20939,19409.24219,23485.11914,1
0.50318,0.52466,0.43471,24.71961,-3.62303,-14.93363,1.02288,228308.78125,233649.18750,1
0.52248,0.48579,0.26243,-1.58309,-19.29546,34.27755,1.08114,12332.87793,13340.23828,1
0.46297,0.70822,0.18952,5.91424,5.58190,1.42434,1.17946,11792.31250,13915.46191,1
0.52211,0.44701,0.48143,-9.71838,27.19319,9.11298,0.94507,48301.45312,45671.03906,1
0.49626,0.48457,0.55104,-26.25694,-10.10375,39.85855,0.95899,180734.25000,173408.82812,1
0.45935,0.45800,0.70074,-4.03918,4.79876,1.72440,1.00393,17809.69922,17888.69531,1
0.64783,2.30908,0.67429,3.84464,43.62035,3.66464,0.19901,11789.25586,2347.37866,1
0.55568,0.52945,0.36933,-14.78105,24.96004,-9.38713,0.95382,44852.20312,42802.23047,1
0.51752,0.50310,0.50560,-21.57512,36.80536,-38.96368,0.75103,94572.36719,71062.13281,1
0.46787,0.56160,0.44737,11.34831,32.38080,-42.10406,0.87009,121453.78906,105728.06250,1
0.89011,0.02397,-0.16576,0.69528,-7.57234,-7.37976,1.66139,34201.84766,56850.97266,1
0.90814,0.03289,-0.15059,6.22588,0.84243,-12.56184,1.67168,32335.44336,54081.60938,1
0.45009,0.46585,0.49059,-23.85578,-10.74085,33.31767,1.10204,139502.57812,153814.01562,1
0.42066,0.33389,0.73062,6.35514,2.45467,-28.51984,0.69522,11837.35742,8233.63574,1
0.49678,0.47265,0.54429,21.61769,-12.04789,12.26638,0.95811,215590.45312,206662.43750,1
0.48221,0.53260,0.34784,16.24633,3.19536,-40.64875,1.06669,87377.23438,93250.82031,1
0.44720,0.50905,0.37984,13.76878,-33.16042,8.55117,1.25675,30496.98242,38346.30859,1
0.49878,0.38716,0.66790,9.26955,-21.38844,30.97073,0.92607,24206.19141,22427.79102,1
0.49530,0.48448,0.34503,0.69087,-1.70252,-57.57935,0.97237,114698.97656,111586.14062,1
0.50821,0.43699,0.57615,10.90152,-38.16696,-18.49787,1.03923,109525.13281,113878.96094,1
0.55620,0.41468,0.53204,-32.78638,12.35596,34.09795,0.87216,26274.70898,22927.14844,1
0.56739,0.55101,0.40509,-12.79672,48.33341,-6.17284,1.14687,38621.53125,44315.98828,1
1.79528,0.25140,0.35828,21.89996,-2.88362,-4.54217,0.51012,13976.58594,7133.24609,1
0.44737,0.58313,0.43878,5.71717,-10.78788,12.01264,0.86760,34651.29297,30078.40820,1
0.51798,0.41196,0.47994,15.46749,-9.26375,-13.52002,1.10674,71341.63281,78996.33594,1
0.48317,0.56843,0.64122,6.81309,10.79780,-11.31460,0.97551,54336.99609,53032.89453,1
1.37823,0.08898,1.21900,15.71817,-6.83338,13.65834,0.40222,11789.25586,4744.22852,1
-0.80993,-1.00096,0.77673,-35.00090,-41.85904,9.15047,6.29781,11789.25586,74283.60156,1
0.09921,0.91299,1.12127,-3.49495,1.50908,10.39071,0.54647,11789.25586,6445.66553,1
1.24272,0.37706,0.39246,1.59924,-1.75255,0.02121,0.65608,11789.25586,7738.51270,1
0.54876,0.52519,0.39199,-17.25864,1.50719,5.06099,1.09522,50269.55078,55083.91797,1
