x,y,z,vx,vy,vz,temperature,density,pressure,is_star
0.66629,0.64469,0.42767,-9.03989,-10.65660,2.21558,0.57085,87059.07031,49722.41797,1
2.99090,-1.44912,2.29896,26.85942,-23.32207,22.94026,0.18550,11789.25586,2188.04907,1
0.70025,0.69037,0.45404,-0.53878,13.16036,-16.02977,0.92527,124710.12500,115448.00781,1
-1.32872,-1.91392,1.53540,-16.78620,-25.49598,7.09927,5.86928,43287.15625,254191.57812,1
0.05868,3.79504,-0.83833,-6.29671,37.49271,-14.05559,0.35905,11789.25586,4235.09912,1
-1.69074,1.99195,1.47915,-28.32829,20.72887,7.11193,0.92760,11789.25586,10941.15430,1
3.03679,2.08571,0.46326,30.25422,25.03873,7.76013,0.03701,11789.25879,436.48041,0
0.47195,0.64797,0.54179,-10.55908,5.43663,4.94837,0.82781,55344.06250,45837.35938,1
0.72835,0.70721,0.47768,28.17378,19.60338,13.24294,0.77602,121262.82812,94149.69531,1
1.36381,-2.08498,3.21344,13.64692,-28.01208,34.37689,0.32472,11789.25586,3830.14233,1
-2.09171,-3.96939,0.56135,-32.25051,-53.15004,1.81291,94.71964,11789.25586,1117232.75000,1
2.01646,-1.11550,0.34363,11.93929,-13.57337,-4.25786,1.33599,11789.25586,15758.25684,1
2.85625,0.26317,2.21620,28.94886,4.73220,23.32807,0.04276,20963.64648,896.78400,0
-0.72345,-0.28127,0.11253,-11.59223,-19.07701,3.49145,4.97106,31302.32617,155683.48438,1
-1.89994,-1.15243,4.07928,-31.63996,-15.39099,38.80831,1.51522,21065.20117,31934.39844,1
-0.17029,1.09910,-0.66900,-1.28876,9.58932,-6.33721,1.58129,11789.25586,18651.53906,1
-1.68843,2.16146,2.52706,-27.01531,19.18759,25.29728,0.33378,11789.25586,3936.96704,1
0.74862,0.69349,0.36353,5.18454,-7.89131,-19.85141,0.80567,36764.67578,29635.07422,1
0.78623,0.61299,0.63334,-7.62066,7.88919,-13.12989,0.47822,23405.02344,11198.23438,1
5.39642,-3.14780,-0.00458,57.89042,-44.49754,-4.58503,0.57105,11789.25586,6735.56543,1
0.70630,0.65357,0.46191,32.02472,26.33584,9.80650,0.80005,62485.93750,50016.68750,1
1.88163,2.34410,1.14908,17.73480,17.66396,7.61248,0.04426,69365.74219,3071.35010,1
-0.77716,-0.24981,0.08257,-18.60512,-9.40087,-6.73426,5.11455,40846.07031,209013.67188,1
-0.53198,-0.89343,-2.61964,-16.41497,-11.17465,-38.05651,40.98883,11789.25586,483469.53125,1
