x,y,z,vx,vy,vz,temperature,density,pressure
-1019.11005,-2038.22009,-3057.32471,-1358.84766,-2717.69531,-4076.54102,0.00000,0.00000,0.00000
-1238.78259,-2477.56519,-3716.35327,-1651.74756,-3303.49512,-4955.24365,0.00000,0.00000,0.00000
-1458.30615,-2916.61230,-4374.92334,-1944.44568,-3888.89136,-5833.33740,0.00000,0.00000,0.00000
-1671.88953,-3343.77905,-5015.67041,-2229.22681,-4458.45361,-6687.67480,0.00000,0.00000,0.00000
-1880.39758,-3760.79517,-5641.18408,-2507.23486,-5014.46973,-7521.70312,0.00000,0.00000,0.00000
-2096.25488,-4192.50977,-6288.77539,-2795.04956,-5590.09912,-8385.15137,0.00000,0.00000,0.00000
-2347.89355,-4695.78711,-7043.67969,-3130.56348,-6261.12695,-9391.68945,0.00000,0.00000,0.00000
-2431.18066,-4862.36133,-7293.54590,-3241.61572,-6483.23145,-9724.85449,0.00000,0.00000,0.00000
-2477.67969,-4955.35938,-7433.03613,-3303.61792,-6607.23584,-9910.85059,0.00000,0.00000,0.00000
-2487.93335,-4975.86670,-7463.80420,-3317.29126,-6634.58252,-9951.87695,0.00000,0.00000,0.00000
-2576.68042,-5153.36084,-7730.02734,-3435.61548,-6871.23096,-10306.83105,0.00000,0.00000,0.00000
-2669.71606,-5339.43213,-8009.14355,-3559.66431,-7119.32861,-10678.98535,0.00000,0.00000,0.00000
-2633.90210,-5267.80420,-7901.69775,-3511.91699,-7023.83398,-10535.72754,0.00000,0.00000,0.00000
-2501.99951,-5003.99902,-7505.97900,-3336.04712,-6672.09424,-10008.11816,0.00000,0.00000,0.00000
-2339.91870,-4679.83740,-7019.74561,-3119.93970,-6239.87939,-9359.79102,0.00000,0.00000,0.00000
-2157.67261,-4315.34521,-6473.00244,-2876.94434,-5753.88867,-8630.80957,0.00000,0.00000,0.00000
-2124.77710,-4249.55420,-6374.33447,-2833.08447,-5666.16895,-8499.25098,0.00000,0.00000,0.00000
-2066.33667,-4132.67334,-6198.97363,-2755.16235,-5510.32471,-8265.44336,0.00000,0.00000,0.00000
-1859.10876,-3718.21753,-5577.34619,-2478.86108,-4957.72217,-7436.60400,0.00000,0.00000,0.00000
-1581.05151,-3162.10303,-4743.16309,-2108.11694,-4216.23389,-6324.36133,0.00000,0.00000,0.00000
-1308.57397,-2617.14795,-3925.71753,-1744.81689,-3489.63379,-5234.44043,0.00000,0.00000,0.00000
-1046.71802,-2093.43604,-3140.14697,-1395.67432,-2791.34863,-4187.01172,0.00000,0.00000,0.00000
-846.17188,-1692.34375,-2538.49829,-1128.25720,-2256.51440,-3384.74902,0.00000,0.00000,0.00000
-628.64954,-1257.29907,-1885.91858,-838.24921,-1676.49841,-2514.71240,0.00000,0.00000,0.00000
-400.43588,-800.87177,-1201.28284,-533.96729,-1067.93457,-1601.86780,0.00000,0.00000,0.00000
-168.49680,-336.99359,-505.51328,-224.71400,-449.42801,-674.17249,0.00000,0.00000,0.00000
59.83708,119.67416,179.51297,79.73062,159.46124,239.19417,0.00000,0.00000,0.00000
278.85114,557.70227,836.56384,371.74887,743.49774,1115.26099,0.00000,0.00000,0.00000
483.79553,967.59106,1451.39783,645.00787,1290.01575,1935.03784,0.00000,0.00000,0.00000
670.19672,1340.39343,2010.58008,893.54120,1787.08240,2680.60986,0.00000,0.00000,0.00000
835.72571,1671.45142,2507.17188,1114.24780,2228.49561,3342.73657,0.00000,0.00000,0.00000
980.52161,1961.04321,2941.56152,1307.30774,2614.61548,3921.91528,0.00000,0.00000,0.00000
1104.21313,2208.42627,3312.61401,1472.22827,2944.45654,4416.65674,0.00000,0.00000,0.00000
1205.00964,2410.01929,3615.01245,1606.62354,3213.24707,4819.84961,0.00000,0.00000,0.00000
1280.84302,2561.68604,3842.52588,1707.73328,3415.46655,5123.20020,0.00000,0.00000,0.00000
1333.28857,2666.57715,3999.82568,1777.66064,3555.32129,5332.92725,0.00000,0.00000,0.00000
1362.32947,2724.65894,4086.97314,1816.38269,3632.76538,5449.12793,0.00000,0.00000,0.00000
1368.14355,2736.28711,4104.40674,1824.13147,3648.26294,5472.36914,0.00000,0.00000,0.00000
1351.31323,2702.62646,4053.92236,1801.69104,3603.38208,5405.05322,0.00000,0.00000,0.00000
1312.84167,2625.68335,3938.50244,1750.39478,3500.78955,5251.15820,0.00000,0.00000,0.00000
1254.20483,2508.40967,3762.60010,1672.21313,3344.42627,5016.61670,0.00000,0.00000,0.00000
1176.64465,2353.28931,3529.94702,1568.79932,3137.59863,4706.41113,0.00000,0.00000,0.00000
1081.55334,2163.10669,3244.65674,1442.00952,2884.01904,4326.02441,0.00000,0.00000,0.00000
970.47681,1940.95361,2911.42432,1293.90649,2587.81299,3881.71558,0.00000,0.00000,0.00000
845.37427,1690.74854,2536.12183,1127.12427,2254.24854,3381.37256,0.00000,0.00000,0.00000
