x,y,z,vx,vy,vz,temperature,density,pressure,is_star
0.68791,0.68143,0.41873,-2.70094,-23.49654,23.45799,0.55203,56170.53516,31023.39062,1
3.07129,-1.51898,2.36761,26.72699,-23.23252,22.82343,0.17562,11789.25586,2071.44287,1
0.70301,0.75252,0.48038,-3.70419,31.26883,-9.28127,0.86839,92069.60938,79992.23438,1
-1.36473,-1.99110,1.54471,-19.77965,-25.79136,11.50925,6.27616,44044.36328,276567.75000,1
0.03984,3.90726,-0.88039,-6.26400,37.30720,-13.98361,0.34639,11789.25586,4085.74463,1
-1.77549,2.05399,1.50040,-28.16723,20.62426,7.05634,0.92711,11789.25586,10935.39844,1
3.12811,2.15967,0.48952,30.50161,24.34900,9.23111,0.03243,11855.16504,384.65036,0
0.44312,0.63767,0.50738,-6.48239,10.08221,-5.85125,0.86791,58933.26953,51174.14453,1
0.70780,0.73484,0.43432,17.65590,8.74313,-8.91602,0.79629,129835.91406,103438.18750,1
1.40470,-2.16885,3.31637,13.59962,-27.89051,34.22472,0.31145,11789.25586,3673.61011,1
-2.18832,-4.12860,0.56678,-32.13004,-52.95033,1.80733,111.25945,11789.25586,1312322.25000,1
2.05209,-1.15599,0.33089,11.82729,-13.44086,-4.23212,1.34971,11789.25586,15919.98633,1
2.94960,0.27542,2.29155,31.78043,2.65619,25.46111,0.03775,22873.62305,863.84631,0
-0.78390,-0.33524,0.12221,-14.62347,-13.39935,1.87176,5.31923,12138.14746,64597.85547,1
-2.00886,-1.20503,4.20573,-36.70855,-17.95362,44.08773,1.54862,22680.58398,35141.12109,1
-0.17371,1.12817,-0.68769,-1.06558,9.73751,-6.16920,1.57160,11789.25586,18537.31055,1
-1.76928,2.21892,2.60281,-26.87742,19.10869,25.18899,0.32178,11789.25586,3795.43384,1
0.75514,0.70652,0.34263,-4.26384,-2.79941,-4.03128,0.80529,15319.93457,12343.13477,1
0.74662,0.65775,0.56951,-11.67154,12.98922,-19.12737,0.49645,23423.00781,11634.14258,1
5.56986,-3.28112,-0.01832,57.68916,-44.34302,-4.56778,0.56022,11789.25586,6607.84473,1
0.74968,0.78931,0.50792,3.82264,29.51896,1.54048,0.68429,23610.55664,16164.61914,1
1.92491,2.42311,1.17183,15.00806,23.01883,-1.89777,0.04005,97645.62500,3912.78296,1
-0.79680,-0.27820,0.07136,-7.16919,-5.98539,5.75843,5.31105,49203.46484,261453.03125,1
-0.58115,-0.92688,-2.73356,-16.35127,-11.11825,-37.87115,46.52716,11789.25586,548795.00000,1
0.93016,-0.08283,2.52532,8.71594,-3.93479,22.70282,0.16641,11789.25586,1962.83545,0
-0.18822,-1.07075,-1.86627,-8.66724,-16.46954,-23.67420,21.91628,11789.25586,258505.93750,0
0.69036,0.68347,0.46680,16.73895,20.99952,-4.18001,0.83532,77008.54688,64358.99219,1
2.43042,-0.07140,1.75541,22.70720,-0.37350,16.13767,0.10536,11789.25586,1242.79590,0
-2.81689,4.01254,3.63865,-39.82893,40.59056,37.55695,0.09506,11789.25586,1121.27661,1
0.68041,0.49856,0.64051,7.29238,6.76938,12.00204,0.73282,11789.25586,8643.78027,0
0.74831,0.65517,0.57102,-10.95949,10.49106,-20.32441,0.49491,23423.00781,11598.15039,1
5.90375,-1.13586,-3.21198,61.17589,-18.43911,-42.44553,0.92290,22239.93750,20535.42383,1
1.55440,0.01535,1.85621,6.53605,0.28334,10.23282,0.27148,11789.25586,3202.15771,0
-1.65846,2.48987,2.95829,-23.72856,25.16141,30.18183,0.13284,22037.16797,2928.93530,1
-2.32821,-0.01636,-1.80142,-34.07099,-10.39376,-25.64306,40.12307,19118.90625,767493.00000,1
0.73602,0.73854,0.43497,2.74464,8.54816,1.37272,0.84491,155198.17188,131193.68750,1
2.67639,0.40555,2.50486,25.25009,2.02955,26.16331,0.03508,11789.25586,413.72397,0
-3.85043,-3.23104,-0.65123,-50.06847,-48.44978,-5.56670,388.49106,21049.22852,8181528.50000,1
0.70433,0.69736,0.43166,-13.45273,28.38182,-12.00600,0.86134,65263.38672,56242.03516,1
-3.00812,1.45202,-0.84589,-37.08446,13.22526,-13.13297,8.98701,11789.25586,106003.11719,1
4.43724,2.03085,-4.63283,42.26772,16.55009,-56.92746,0.75705,18714.25586,14174.79297,1
0.17304,0.39488,0.37012,-0.69226,6.95024,2.96805,1.52109,11789.25586,17941.51172,1
1.54960,3.38026,2.08809,14.19211,34.70660,16.27669,0.01320,38997.13281,514.95825,1
-2.46186,0.42804,6.97091,-35.95033,-1.23056,77.13541,0.09221,11789.25586,1087.65271,1
0.75179,0.73587,0.46726,-11.36649,19.66002,-12.00673,0.82212,51796.01953,42604.02734,1
1.70157,2.51394,1.47792,15.72923,19.37990,9.45169,0.03513,11789.25586,414.34155,1
-0.78892,-2.55858,0.77960,-16.34596,-35.79340,3.70428,15.11531,16718.49609,252831.68750,0
3.17277,-0.91309,1.98239,25.40425,-11.93836,13.44333,0.16770,11789.25586,1978.10413,1
3.90337,-1.86178,-2.99552,42.00380,-24.74743,-37.51801,3.24720,11789.25586,38301.17578,1
4.25164,-0.37595,-0.29796,41.12278,-9.87457,-7.55914,0.22807,11789.25586,2690.12793,1
-0.24689,0.30356,0.07360,-6.61357,-1.69428,-5.74561,2.44961,11789.25586,28893.49023,0
0.68200,0.66748,0.42761,5.59648,-16.13452,11.58722,0.52562,138510.34375,72839.71094,1
1.48976,1.02155,0.28356,4.95023,-9.10524,-1.14622,0.35316,33365.51172,11789.35254,0
1.71875,0.44871,1.50472,7.17704,7.05083,5.23120,0.23272,23127.97266,5384.98584,0
0.00388,-2.43587,-1.22653,-2.58435,-30.69779,-16.84462,21.23883,11789.25586,250515.23438,1
2.91698,1.09787,0.61128,24.17142,5.20163,1.10321,0.10901,22659.02930,2471.18457,1
-0.01749,-0.24358,0.84519,-8.39480,2.48954,-3.50490,2.05606,11789.25586,24251.58984,1
2.78496,-2.27566,2.08340,32.36959,-29.18514,20.34737,0.30863,14487.95117,4473.70605,1
0.57964,0.87960,0.68035,-8.88638,5.97736,3.38618,0.60117,11789.25586,7090.85400,1
0.75285,0.66584,0.38007,11.08201,19.06746,16.14651,0.86788,12049.57324,10462.79883,1
0.96706,0.81078,0.51603,0.57210,17.92929,-14.57170,0.40484,22478.52539,9104.65527,1
1.77321,0.61259,2.76657,13.36985,1.61275,24.40627,0.07342,11789.25586,865.99530,1
0.71561,0.75438,0.45994,20.65993,35.23976,-30.36863,0.78845,95458.87500,75302.64062,1
0.67864,0.76420,0.45699,-25.50372,-21.68580,10.17197,0.52316,16477.97070,8624.87109,1
-0.53566,-2.59456,-3.47639,-13.64058,-36.30095,-44.45302,196.21771,11789.25586,2314418.00000,1
0.73691,0.76792,0.43116,-0.63256,23.65936,-24.99482,0.79622,97759.17188,77876.26562,1
0.33458,0.65806,0.54165,-15.11193,8.40388,16.66967,0.62324,11789.25586,7351.25488,1
1.68384,0.32688,1.72537,9.84114,-3.33232,10.59396,0.18793,11789.25586,2216.63989,0
-0.66783,-1.10239,-1.42515,-17.78871,-13.28281,-24.60420,28.10172,11789.25586,331464.12500,0
-0.86494,2.81377,0.55237,-12.32619,28.84819,2.69617,0.32744,11789.25586,3862.21851,0
-1.03554,2.67520,1.84839,-17.17141,22.61279,15.65626,0.25742,11789.25586,3036.29834,1
0.72261,0.74250,0.39229,5.41208,12.91713,-9.92234,0.75345,71863.21875,54172.66797,0
4.05092,0.81696,0.66599,42.70004,6.82340,7.76986,0.03844,29947.65430,1151.76746,1
3.00145,0.58063,1.14058,23.92999,-3.50840,6.46597,0.11176,23283.27148,2603.52490,1
-2.55344,3.14341,-3.37218,-39.27052,33.21370,-47.20016,18.42545,11789.25586,217331.06250,1
-0.42136,0.62853,0.24158,-0.89161,2.32087,0.08412,1.44424,11789.25586,17035.00781,0
-1.96266,1.47718,-1.15657,-27.57584,9.86264,-17.04540,7.82415,11789.25586,92287.03125,0
0.69369,0.73300,0.43172,-5.52849,12.11855,-16.97753,0.84667,156848.60938,132865.92188,1
0.76368,0.88301,0.33040,-4.19188,-16.66127,-9.30278,0.45702,12019.65723,5495.92578,1
-2.83678,0.05839,4.89171,-39.75539,-5.82961,51.97567,0.65495,11789.25586,7725.28857,1
0.75682,0.72992,0.32733,-1.28880,-12.01900,-5.78321,0.90624,13536.24219,12273.17480,1
1.96604,2.42178,1.21929,23.55466,21.65648,4.57751,0.03725,15559.62598,579.95007,1
0.56061,0.87684,0.41010,-1.62321,1.09477,-0.00086,0.76714,11789.29004,9048.52832,1
-0.13831,0.23826,0.05637,-5.77422,-3.22201,-4.41851,2.59664,11789.25586,30627.79297,1
5.10044,1.73629,0.09619,54.16228,16.72574,-1.53703,0.01498,11789.25586,176.67343,1
-1.31226,-0.49518,-0.48310,-18.40205,-11.45615,-6.19114,12.86687,11789.25586,151766.65625,0
1.08860,1.30481,2.50836,2.51909,12.79186,16.07652,0.10387,11789.25586,1225.14832,1
-1.89938,1.44165,-2.97203,-27.87951,13.44806,-37.94112,17.18710,28641.40820,492508.87500,1
3.22793,-2.47172,-2.70201,30.01010,-34.39060,-35.23459,9.42281,11789.25586,111143.53125,1
0.65411,0.67437,0.45889,9.68500,33.40245,-5.05038,0.91001,33487.69531,30489.55078,1
2.80042,-2.26554,2.03349,21.75798,-26.63745,10.08450,0.31935,74808.31250,23902.32812,1
1.20992,0.33923,-3.18314,5.12047,-0.55781,-38.11382,8.00782,11789.25586,94453.46094,1
0.00356,-2.20856,2.01355,-9.98960,-26.29553,13.25394,3.37711,11789.25586,39833.55469,1
-2.55990,3.67751,0.96010,-30.82654,39.88881,6.56669,0.43729,11834.81543,5177.81934,1
0.90243,2.95234,-5.84998,3.54864,28.58227,-73.33732,9.50147,11789.25586,112071.30469,1
-2.90655,5.10212,-1.60307,-43.91363,57.17480,-28.03149,2.01550,11789.25586,23773.18945,1
-1.36785,-1.99324,1.54342,-16.88052,-28.84881,11.16326,6.39701,46270.79688,296142.78125,1
-0.38458,0.62864,-0.09422,-4.33089,-1.84484,-4.08395,2.33746,11789.25586,27570.72461,1
1.74403,0.16155,2.90256,9.87800,0.69403,22.75029,0.10964,11789.25586,1293.18774,1
0.78396,1.15766,0.23109,0.20245,1.99313,-5.01986,0.43569,32071.17188,13980.06348,1
-0.24287,-1.41973,0.96016,-8.36428,-17.83215,3.50430,4.02291,11789.25586,47450.90234,1
-1.50192,-3.28937,-6.40416,-49.07207,-55.84448,-91.89320,3589.46045,11789.25586,42338236.00000,1
1.94878,2.42517,1.18858,30.56133,18.06498,14.18837,0.03955,90371.39062,3576.41772,1
4.65724,2.46291,-3.47534,46.14080,21.76295,-43.99738,0.21401,22889.32617,4900.94189,1
-1.03173,1.01941,3.79036,-22.31736,9.61169,34.24090,0.22842,16052.68945,3668.57520,1
-3.22064,0.04925,3.58316,-40.44663,-3.15068,38.57806,1.35921,11789.25586,16032.11621,1
0.96384,6.45113,2.50814,4.31249,69.55895,24.77522,0.00265,11789.25586,31.30696,1
-1.85180,-1.03405,0.75902,-28.93652,-11.83484,-0.71978,12.56783,11789.25586,148239.43750,1
0.83788,0.51408,0.33997,8.64347,11.63677,9.69731,0.54255,11879.44922,6448.45312,1
-2.15160,-0.15651,-1.76189,-26.34402,-11.05876,-21.84585,40.01333,31574.37109,1264027.75000,0
2.42037,-1.31411,1.31463,17.32368,-16.79154,6.43450,0.58216,11789.25586,6866.68408,0
1.33303,1.13982,0.61670,9.47263,6.72251,1.17697,0.21075,11789.25586,2485.87451,1
-2.32174,-0.01071,-1.83193,-27.06265,-8.09634,-29.28678,40.25799,27959.17188,1126143.25000,1
-0.32021,0.46234,-1.48909,-12.75339,5.29036,-20.70407,7.15499,11789.25586,84394.17969,1
2.67533,-2.92702,1.96682,30.71468,-34.25644,19.21998,0.58752,23275.05469,13681.36328,1
0.25608,0.56174,-0.77713,-2.67470,0.46473,-6.69970,2.58322,23075.20508,59638.22656,1
0.10399,0.62070,-0.43629,1.88119,3.25928,-8.67854,2.50271,11789.25586,29519.88867,1
-0.18062,-0.77752,-0.57535,-3.78103,-9.42151,-6.53988,5.23590,11789.25586,61758.21484,1
-0.19451,0.18043,0.80614,-3.46796,4.26115,4.64391,1.65573,11789.25586,19529.60156,1
0.69119,0.67873,0.46589,15.58451,18.81301,-3.56495,0.84582,75955.34375,64276.70703,1
0.68475,0.69161,0.44763,-14.10149,-40.98386,4.84055,0.54078,126923.37500,68671.79688,1
4.64650,2.76485,-2.96240,47.07735,25.89296,-39.36494,0.12946,11789.25586,1526.99207,1
1.21985,0.23371,1.51383,1.83136,2.65100,4.85237,0.36262,11789.25586,4277.12549,0
2.59596,-0.29956,-0.15377,24.06429,-4.51391,-2.07513,0.42873,11789.25586,5056.97705,1
1.01788,0.38357,-2.71280,3.51438,-1.28122,-34.60842,6.25650,11789.25586,73796.37500,1
1.09446,-1.71395,5.84969,3.10160,-22.14311,60.03504,0.08538,11789.25586,1007.05823,1
0.71979,0.63690,0.46192,-7.60325,-9.64573,26.64523,0.52018,30609.14258,15930.17383,1
-5.05690,-1.66398,7.49286,-67.06574,-25.92653,83.97427,1.52916,11789.25586,18036.72266,1
0.73818,0.73047,0.43914,3.77379,3.88827,2.40106,0.79670,164978.26562,131504.39062,1
-0.95093,3.48198,0.67974,-12.70054,35.46527,4.32581,0.19672,11789.25586,2320.38013,1
0.23282,0.72849,0.71689,-0.10010,8.54430,-2.94711,0.87597,11789.25586,10332.25000,1
-2.79218,-3.60444,3.94167,-43.71186,-44.08768,37.12718,14.76146,19272.95312,284639.21875,1
0.73810,1.06251,0.18551,-4.87233,10.10711,0.66406,0.37433,11789.25586,4415.26416,0
-6.36810,-5.23504,0.70501,-57.51928,-64.08814,17.57902,2603.14502,11789.25586,30704496.00000,1
0.34480,0.38484,0.17946,5.13775,9.09679,-1.29057,1.55821,11789.25586,18379.38477,1
3.40987,2.05770,-0.70546,34.26075,19.73295,-8.92545,0.06876,11789.25586,811.02979,1
4.50225,-1.73590,5.57317,45.06863,-28.13256,62.97878,0.00891,20158.50781,179.78154,1
0.49079,0.62509,0.52480,26.41205,7.79888,-4.05035,0.89676,42818.82422,38417.31641,1
0.39313,-0.03201,1.03157,6.61908,3.66150,7.33731,0.81535,11789.25586,9617.12012,0
-2.36929,-1.82236,-0.11376,-31.25562,-21.99687,-5.89599,46.93220,22389.83789,1051330.12500,0
0.74738,0.71868,0.41031,-11.86138,14.63846,2.46950,0.83215,33919.01172,28239.79492,1
0.96092,-0.50550,2.31947,8.69913,-7.17153,20.68671,0.25947,11789.25586,3060.44360,0
2.24928,-4.64146,6.93981,19.12647,-60.92862,77.45740,0.11945,11789.25586,1408.87939,1
5.67160,-0.92933,1.76641,56.29995,-12.77532,12.10322,0.03506,11789.25586,413.55060,1
0.64292,0.69185,0.42205,-27.62095,8.06831,12.10388,0.55388,109277.41406,60557.35938,1
2.08724,-3.02857,1.93723,18.39294,-39.06357,20.06936,1.35063,15187.67383,20523.24219,0
0.72221,0.75096,0.39801,-3.07518,20.40925,-25.48595,0.87700,133045.51562,116738.71875,1
0.66289,0.61202,0.31904,6.63543,-2.31182,-5.45722,0.57339,11970.13574,6867.04736,1
-1.00694,-1.25436,2.13412,-18.05489,-19.97214,18.20960,2.82185,11789.25586,33284.17578,0
0.69644,0.74050,0.45834,-6.77906,-1.75961,-19.20826,0.81834,69022.39844,56511.81641,1
1.58822,3.41881,2.10969,19.61196,35.65583,18.63215,0.01244,11892.08594,147.98714,1
6.97052,-1.39895,4.92143,74.36276,-23.39428,52.12445,0.00177,21226.56055,37.59771,1
-0.66631,2.74498,1.99684,-17.52260,29.81961,11.66914,0.18413,23732.20508,4371.94336,1
4.62282,-1.97756,-0.19227,50.39801,-25.90888,-4.90992,0.34373,11789.25586,4054.37598,1
2.10364,3.15519,-1.70539,21.20671,28.60824,-21.03199,0.23323,21748.22852,5074.98193,1
0.73913,0.74452,0.43786,-12.70507,26.34244,-14.21584,0.76196,129753.40625,98915.78906,1
2.66799,-1.63026,1.26415,27.96682,-21.05245,12.71977,0.38498,11789.25586,4540.90625,0
2.33952,1.70398,-1.66745,19.58204,13.27533,-22.39645,0.52467,11789.25586,6188.52979,0
3.80793,2.17430,4.24091,34.94954,23.36306,41.28323,0.00234,11789.25586,27.64823,1
0.73250,0.72103,0.45667,-7.34629,34.56860,-21.98329,0.52650,56026.76562,29512.95898,1
4.06278,4.29469,-3.90996,40.74301,44.29742,-50.40800,0.12802,11789.25586,1510.00928,1
-2.95343,3.08883,-2.47651,-42.67467,32.61325,-37.58734,13.66750,11789.25586,161210.23438,1
0.38594,-0.33355,3.76975,1.93375,-5.94870,37.55885,0.13094,21318.92578,2792.80273,1
