x,y,z,vx,vy,vz,temperature,density,pressure,is_star
0.76947,0.80936,0.45520,6.40001,17.41111,-14.02236,0.46498,24249.24219,11281.11719,1
3.31018,-1.72699,2.57155,26.35217,-22.97706,22.49072,0.14929,11789.25586,1760.90649,1
0.75996,0.79686,0.42577,-3.39399,2.66244,-16.68230,0.83795,45689.29297,38304.54688,1
-1.54578,-2.21435,1.73209,-15.64237,-26.28635,9.38583,7.21132,31606.24805,228036.67188,1
-0.01612,4.24069,-1.00534,-6.17089,36.77911,-13.77940,0.31132,11789.25586,3672.01636,1
-2.02695,2.23829,1.56319,-27.71365,20.32701,6.90426,0.92563,11789.25586,10918.00488,1
3.40768,2.35534,0.59238,31.58510,18.61429,12.83500,0.02177,14797.16602,322.34100,0
0.38609,0.72252,0.46696,-3.67158,4.25157,-8.43017,0.87133,48985.32031,42703.62891,1
0.66419,0.81357,0.39359,-8.75947,8.05178,1.35634,0.79211,16744.82617,13270.30176,1
1.52652,-2.41836,3.62250,13.46063,-27.54297,33.78944,0.27506,11789.25586,3244.35864,1
-2.47601,-4.60271,0.58298,-31.78004,-52.37038,1.79061,179.68260,11789.25586,2119384.00000,1
2.15705,-1.27521,0.29314,11.51649,-13.07218,-4.15840,1.39094,11789.25586,16406.40430,1
3.20211,0.30140,2.49165,29.10525,4.24653,23.39044,0.02715,21121.55078,573.82861,0
-0.87239,-0.40680,0.08970,-12.90586,-3.73000,-3.83469,6.01460,13749.34961,82738.14844,1
-2.31068,-1.35257,4.57485,-32.62341,-15.96329,40.21450,1.62610,17784.61523,28934.03125,1
-0.18076,1.22012,-0.74265,-0.67976,10.73450,-6.25342,1.53359,12408.60059,19039.28711,1
-2.00944,2.38991,2.82815,-26.48702,18.87952,24.87346,0.28848,11789.25586,3402.71338,1
0.66432,0.73329,0.44245,-6.58619,13.24739,21.51763,0.78220,25121.41016,19659.73633,1
0.65742,0.77455,0.32510,-2.87541,14.66093,-27.66119,0.57030,25838.09375,14742.78711,1
6.08662,-3.67833,-0.05922,57.10001,-43.89020,-4.51766,0.52913,11789.25586,6241.16504,1
0.71314,0.80498,0.39174,-3.88559,-19.20508,10.71922,0.74772,68180.83594,51005.97656,1
