x,y,z,vx,vy,vz,temperature,density,pressure
-1304.46851,-2608.93701,-3913.39771,-1358.84766,-2717.69531,-4076.54102,0.00000,0.00000,0.00000
-1585.64917,-3171.29834,-4756.95215,-1651.74756,-3303.49512,-4955.24365,0.00000,0.00000,0.00000
-1866.63977,-3733.27954,-5599.92676,-1944.44568,-3888.89136,-5833.33740,0.00000,0.00000,0.00000
-2140.02661,-4280.05322,-6420.08643,-2229.22681,-4458.45361,-6687.67480,0.00000,0.00000,0.00000
-2406.91602,-4813.83203,-7220.73682,-2507.23486,-5014.46973,-7521.70312,0.00000,0.00000,0.00000
-2683.21411,-5366.42822,-8049.65820,-2795.04956,-5590.09912,-8385.15137,0.00000,0.00000,0.00000
-3005.31250,-6010.62500,-9015.93652,-3130.56348,-6261.12695,-9391.68945,0.00000,0.00000,0.00000
-3111.92212,-6223.84424,-9335.77051,-3241.61572,-6483.23145,-9724.85449,0.00000,0.00000,0.00000
-3171.43848,-6342.87695,-9514.31250,-3303.61792,-6607.23584,-9910.85059,0.00000,0.00000,0.00000
-3184.56323,-6369.12646,-9553.69434,-3317.29126,-6634.58252,-9951.87695,0.00000,0.00000,0.00000
-3298.16064,-6596.32129,-9894.46289,-3435.61548,-6871.23096,-10306.83105,0.00000,0.00000,0.00000
-3417.24634,-6834.49268,-10251.73438,-3559.66431,-7119.32861,-10678.98535,0.00000,0.00000,0.00000
-3371.40405,-6742.80811,-10114.20312,-3511.91699,-7023.83398,-10535.72754,0.00000,0.00000,0.00000
-3202.56689,-6405.13379,-9607.68164,-3336.04712,-6672.09424,-10008.11816,0.00000,0.00000,0.00000
-2995.10742,-5990.21484,-8985.30273,-3119.93970,-6239.87939,-9359.79102,0.00000,0.00000,0.00000
-2761.83276,-5523.66553,-8285.47168,-2876.94434,-5753.88867,-8630.80957,0.00000,0.00000,0.00000
-2719.72412,-5439.44824,-8159.18066,-2833.08447,-5666.16895,-8499.25098,0.00000,0.00000,0.00000
-2644.91846,-5289.83691,-7934.71387,-2755.16235,-5510.32471,-8265.44336,0.00000,0.00000,0.00000
-2379.66895,-4759.33789,-7139.03662,-2478.86108,-4957.72217,-7436.60400,0.00000,0.00000,0.00000
-2023.75623,-4047.51245,-6071.27979,-2108.11694,-4216.23389,-6324.36133,0.00000,0.00000,0.00000
-1674.98450,-3349.96899,-5024.94727,-1744.81689,-3489.63379,-5234.44043,0.00000,0.00000,0.00000
-1339.81055,-2679.62109,-4019.41943,-1395.67432,-2791.34863,-4187.01172,0.00000,0.00000,0.00000
-1083.10583,-2166.21167,-3249.29395,-1128.25464,-2256.50928,-3384.74390,0.00000,0.00000,0.00000
-804.68219,-1609.36438,-2414.00928,-838.24921,-1676.49841,-2514.71240,0.00000,0.00000,0.00000
-512.56879,-1025.13757,-1537.67505,-533.96729,-1067.93457,-1601.86780,0.00000,0.00000,0.00000
-215.68687,-431.37375,-647.08899,-224.71400,-449.42801,-674.17249,0.00000,0.00000,0.00000
76.58057,153.16113,229.74365,79.73062,159.46124,239.19417,0.00000,0.00000,0.00000
356.91861,713.83722,1070.76819,371.74887,743.49774,1115.26099,0.00000,0.00000,0.00000
619.24707,1238.49414,1857.75500,645.00787,1290.01575,1935.03784,0.00000,0.00000,0.00000
857.84064,1715.68127,2573.50928,893.54120,1787.08240,2680.60986,0.00000,0.00000,0.00000
1069.71729,2139.43457,3209.14404,1114.24780,2228.49561,3342.73657,0.00000,0.00000,0.00000
1255.05688,2510.11377,3765.16553,1307.30774,2614.61548,3921.91528,0.00000,0.00000,0.00000
1413.38123,2826.76245,4240.11084,1472.22827,2944.45654,4416.65674,0.00000,0.00000,0.00000
1542.40161,3084.80322,4627.18359,1606.62354,3213.24707,4819.84961,0.00000,0.00000,0.00000
1639.46826,3278.93652,4918.39648,1707.73328,3415.46655,5123.20020,0.00000,0.00000,0.00000
1706.59741,3413.19482,5119.73730,1777.66064,3555.32129,5332.92725,0.00000,0.00000,0.00000
1743.76965,3487.53931,5231.28857,1816.38269,3632.76538,5449.12793,0.00000,0.00000,0.00000
1751.21155,3502.42310,5253.60303,1824.13147,3648.26294,5472.36914,0.00000,0.00000,0.00000
1729.66956,3459.33911,5188.97852,1801.69104,3603.38208,5405.05322,0.00000,0.00000,0.00000
1680.42371,3360.84741,5041.24805,1750.39478,3500.78955,5251.15820,0.00000,0.00000,0.00000
1605.37036,3210.74072,4816.08789,1672.21313,3344.42627,5016.61670,0.00000,0.00000,0.00000
1506.09241,3012.18481,4518.29346,1568.79932,3137.59863,4706.41113,0.00000,0.00000,0.00000
1384.37427,2768.74854,4153.12207,1442.00952,2884.01904,4326.02441,0.00000,0.00000,0.00000
1242.19763,2484.39526,3726.58423,1293.90649,2587.81299,3881.71558,0.00000,0.00000,0.00000
1082.07031,2164.14062,3246.20996,1127.12683,2254.25366,3381.37769,0.00000,0.00000,0.00000
906.12946,1812.25891,2718.38354,943.83557,1887.67114,2831.50195,0.00000,0.00000,0.00000
717.54639,1435.09277,2152.64575,747.39502,1494.79004,2242.19141,0.00000,0.00000,0.00000
519.06097,1038.12195,1557.18604,540.63727,1081.27454,1621.91528,0.00000,0.00000,0.00000
313.85815,627.71631,941.57648,326.88458,653.76917,980.65540,0.00000,0.00000,0.00000
104.94804,209.89609,314.83173,109.26945,218.53889,327.79590,0.00000,0.00000,0.00000
-104.84264,-209.68527,-314.53561,-109.26288,-218.52576,-327.79660,0.00000,0.00000,0.00000
-313.76154,-627.52307,-941.26807,-326.88751,-653.77502,-980.64417,0.00000,0.00000,0.00000
-518.95673,-1037.91345,-1556.88257,-540.63232,-1081.26465,-1621.90710,0.00000,0.00000,0.00000
-717.44696,-1434.89392,-2152.34424,-747.39410,-1494.78821,-2242.18384,0.00000,0.00000,0.00000
-906.02460,-1812.04919,-2718.07959,-943.82953,-1887.65906,-2831.49512,0.00000,0.00000,0.00000
-1081.96570,-2163.93140,-3245.91040,-1127.12085,-2254.24170,-3381.37280,0.00000,0.00000,0.00000
-1242.09863,-2484.19727,-3726.28662,-1293.90686,-2587.81372,-3881.71094,0.00000,0.00000,0.00000
-1384.27124,-2768.54248,-4152.82080,-1442.00476,-2884.00952,-4326.01807,0.00000,0.00000,0.00000
-1505.99658,-3011.99316,-4517.97998,-1568.80286,-3137.60571,-4706.39502,0.00000,0.00000,0.00000
-1605.25879,-3210.51758,-4815.79102,-1672.19922,-3344.39844,-5016.61475,0.00000,0.00000,0.00000
-1680.31091,-3360.62183,-5040.94775,-1750.38110,-3500.76221,-5251.15381,0.00000,0.00000,0.00000
-1729.56567,-3459.13135,-5188.66748,-1801.69055,-3603.38110,-5405.03955,0.00000,0.00000,0.00000
-1751.09888,-3502.19775,-5253.30518,-1824.11682,-3648.23364,-5472.36475,0.00000,0.00000,0.00000
-1743.66711,-3487.33423,-5230.98340,-1816.37634,-3632.75269,-5449.11084,0.00000,0.00000,0.00000
-1706.48340,-3412.96680,-5119.43945,-1777.64355,-3555.28711,-5332.92529,0.00000,0.00000,0.00000
-1639.36121,-3278.72241,-4918.08105,-1707.72632,-3415.45264,-5123.17871,0.00000,0.00000,0.00000
-1542.29456,-3084.58911,-4626.86523,-1606.61633,-3213.23267,-4819.83594,0.00000,0.00000,0.00000
-1413.26648,-2826.53296,-4239.82910,-1472.21106,-2944.42212,-4416.66357,0.00000,0.00000,0.00000
-1254.95020,-2509.90039,-3764.85034,-1307.30029,-2614.60059,-3921.89990,0.00000,0.00000,0.00000
-1069.61682,-2139.23364,-3208.83374,-1114.24414,-2228.48828,-3342.71729,0.00000,0.00000,0.00000
-857.72864,-1715.45728,-2573.21533,-893.52765,-1787.05530,-2680.61792,0.00000,0.00000,0.00000
-619.14978,-1238.29956,-1857.43140,-645.00891,-1290.01782,-1935.00708,0.00000,0.00000,0.00000
-356.81848,-713.63696,-1070.45825,-371.74805,-743.49609,-1115.24609,0.00000,0.00000,0.00000
-76.48744,-152.97488,-229.41672,-79.73680,-159.47360,-239.16273,0.00000,0.00000,0.00000
215.79948,431.59897,647.38159,224.72845,449.45691,674.16730,0.00000,0.00000,0.00000
512.65771,1025.31543,1537.97229,533.95587,1067.91174,1601.86877,0.00000,0.00000,0.00000
804.77435,1609.54871,2414.31323,838.24274,1676.48547,2514.71704,0.00000,0.00000,0.00000
1083.20837,2166.41675,3249.61572,1128.25903,2256.51807,3384.76978,0.00000,0.00000,0.00000
1339.90063,2679.80127,4019.73999,1395.66455,2791.32910,4187.03760,0.00000,0.00000,0.00000
1675.06946,3350.13892,5025.24365,1744.80298,3489.60596,5234.43652,0.00000,0.00000,0.00000
2023.85535,4047.71069,6071.56250,2108.11743,4216.23486,6324.34375,0.00000,0.00000,0.00000
2379.76831,4759.53662,7139.29834,2478.86279,4957.72559,7436.57715,0.00000,0.00000,0.00000
2645.00659,5290.01318,7935.00439,2755.14771,5510.29541,8265.43652,0.00000,0.00000,0.00000
2719.82104,5439.64209,8159.48682,2833.07959,5666.15918,8499.26367,0.00000,0.00000,0.00000
2761.92358,5523.84717,8285.75977,2876.93848,5753.87695,8630.79688,0.00000,0.00000,0.00000
2995.18286,5990.36572,8985.56934,3119.91504,6239.83008,9359.77441,0.00000,0.00000,0.00000
3202.66455,6405.32910,9607.97461,3336.04346,6672.08691,10008.10254,0.00000,0.00000,0.00000
3371.49585,6742.99170,10114.49902,3511.90454,7023.80908,10535.72363,0.00000,0.00000,0.00000
3417.34033,6834.68066,10252.00488,3559.65894,7119.31787,10678.96191,0.00000,0.00000,0.00000
3298.24463,6596.48926,9894.75098,3435.60498,6871.20996,10306.81250,0.00000,0.00000,0.00000
3184.66211,6369.32422,9553.98340,3317.29126,6634.58252,9951.86523,0.00000,0.00000,0.00000
3171.53735,6343.07471,9514.60645,3303.61792,6607.23584,9910.83691,0.00000,0.00000,0.00000
3112.00659,6224.01318,9336.02539,3241.60596,6483.21191,9724.82422,0.00000,0.00000,0.00000
3005.41016,6010.82031,9016.20117,3130.56152,6261.12305,9391.66406,0.00000,0.00000,0.00000
2683.31104,5366.62207,8049.92041,2795.04419,5590.08838,8385.12793,0.00000,0.00000,0.00000
2407.00903,4814.01807,7221.02344,2507.23096,5014.46191,7521.68799,0.00000,0.00000,0.00000
2140.12500,4280.25000,6420.36523,2229.22437,4458.44873,6687.66553,0.00000,0.00000,0.00000
1866.73584,3733.47168,5600.21143,1944.44092,3888.88184,5833.32617,0.00000,0.00000,0.00000
1585.74719,3171.49438,4757.24561,1651.74426,3303.48853,4955.23730,0.00000,0.00000,0.00000
1304.56152,2609.12305,3913.69287,1358.84387,2717.68774,4076.53394,0.00000,0.00000,0.00000
