x,y,z,vx,vy,vz,temperature,density,pressure,is_star
0.30910,0.35535,0.28654,-34.35963,7.64723,8.88682,1.01576,124833.54688,126864.71094,0
0.54063,0.51872,0.36517,17.21426,-11.99321,11.78607,0.98249,19694.99219,19359.82617,0
0.84929,0.21827,0.69454,-25.74381,-0.95586,-0.90972,1.02687,57594.21094,59171.30469,0
0.35453,0.35804,0.29176,-26.15776,-9.22355,7.70953,1.02434,42392.80078,43446.41406,0
0.58407,0.48864,0.42209,-13.26064,-18.08627,-6.25362,1.03588,230118.25000,238495.28125,1
0.85294,0.16579,0.69293,-23.96474,15.88804,-2.62348,1.00955,47283.10938,47758.75781,0
0.24249,0.23785,0.34521,11.81081,13.23090,-10.05378,0.98431,23767.07617,23405.92578,0
0.63310,0.43412,0.43074,53.45303,-6.37670,-18.79835,0.96059,59893.55859,57562.16797,0
0.75812,0.19424,0.70232,24.68426,8.63724,-3.60770,0.97012,47204.32422,45817.00000,0
0.29124,0.35797,0.24532,6.13829,-12.79907,19.54958,0.98646,25128.52734,24800.70508,0
0.60906,0.52647,0.39007,-20.24188,-28.62080,1.32755,1.04488,103978.95312,108699.62500,1
0.75193,0.26416,0.70575,11.53374,-18.21700,-5.16310,1.01081,21987.50586,22236.35742,0
0.19570,0.35182,0.24216,13.58820,-2.01857,8.77846,0.97914,21352.56445,20917.63867,0
0.64337,0.49334,0.40061,1.51883,-1.68608,-45.56503,1.04488,124343.49219,129988.51562,0
0.79753,0.21927,0.63931,-49.95281,-22.69636,12.14724,1.03604,37336.46875,38701.25000,0
0.33662,0.28984,0.34917,-17.94589,13.80444,-22.32237,1.02395,47714.18750,48881.18359,0
0.63734,0.45250,0.35560,-13.48510,12.28789,15.26040,0.98537,15624.76855,15403.88965,0
0.75708,0.18364,0.67283,20.67913,13.93710,7.22346,0.95882,42774.32422,41033.32031,0
0.38055,0.33533,0.26390,24.31590,6.05383,-38.48717,1.01481,78265.46875,79464.22656,0
0.62172,0.57257,0.42568,32.54435,84.67036,28.17544,0.89671,307882.15625,276220.18750,1
0.76366,0.19090,0.66726,17.69176,2.70631,19.31021,0.96070,50578.65234,48615.28906,0
0.29750,0.28448,0.30262,-1.78287,15.73376,6.84466,0.97853,229450.75000,224636.17188,1
0.55320,0.46527,0.50964,-74.38786,-18.69191,40.92014,1.04396,67270.50000,70263.14844,0
0.81204,0.18436,0.71182,24.91144,-26.95268,-12.40609,1.01073,227797.98438,230357.01562,1
0.30330,0.33244,0.15756,1.58556,-1.30441,13.27164,0.98558,11989.81934,11822.79199,0
0.60457,0.53567,0.46870,-2.54159,-12.65580,-20.21609,1.03391,22128.40820,22890.22461,0
0.88103,0.37974,0.78408,46.72403,101.73945,40.50444,0.75161,34912.09375,26253.51758,0
0.22218,0.37127,0.26808,15.21561,-10.17792,5.50711,0.98860,17027.13086,16841.48633,0
0.60915,0.48797,0.39526,22.93849,1.97890,30.30524,0.94813,184044.56250,174586.23438,1
0.62998,0.07142,0.73836,4.58951,4.91471,-2.39350,0.99193,11789.25586,11700.02148,0
0.28823,0.31438,0.33687,-70.02492,-15.39116,35.95229,1.03910,75035.32031,78008.05469,1
0.56146,0.45980,0.44532,4.74772,-52.14619,23.01485,1.01957,94740.28906,96642.61719,0
0.73350,0.24083,0.60376,7.43490,3.00936,10.61817,0.97865,28310.00977,27719.56445,0
0.35780,0.26633,0.26076,-12.15193,12.50351,17.09633,0.98214,27439.75781,26963.05859,0
0.64607,0.47211,0.43321,-28.15383,6.40674,-4.51128,1.02349,55590.04297,56924.21484,0
0.79061,0.22360,0.73421,-15.39030,19.05154,-7.50037,0.98730,165587.21875,163566.00000,0
0.16814,0.33472,0.24676,13.02936,-1.15138,4.68258,0.98270,14077.46484,13840.82812,0
0.61922,0.51762,0.39757,-17.26021,-28.12234,-12.08733,1.05479,81670.72656,86188.23438,1
0.76402,0.22926,0.70115,23.85693,-6.09361,-11.16132,0.99274,72882.82031,72390.22656,0
0.36713,0.29296,0.31633,-22.81694,6.40786,-0.75527,1.01560,34597.01172,35154.28125,0
0.59939,0.48517,0.36055,14.24064,9.59651,-61.33691,1.02218,242853.56250,248363.26562,1
0.76390,0.23407,0.71954,-40.01631,56.71806,33.01365,0.95493,376660.90625,359864.65625,1
0.28549,0.24581,0.25708,-4.61422,12.56049,18.53128,0.97917,50159.79297,49139.33203,0
0.61267,0.50502,0.37426,-5.62681,-2.09184,18.57975,0.98716,169238.50000,167148.85938,1
0.81274,0.22559,0.66188,-3.80723,25.10420,-32.48993,1.02871,343076.59375,353102.96875,1
0.28779,0.24824,0.31886,3.69521,21.18816,-15.52109,0.98944,40178.72656,39774.42578,0
0.61722,0.62079,0.37942,-0.86274,-17.04543,2.79482,1.01396,18516.64453,18784.46289,0
0.77309,0.21506,0.69072,6.95648,-4.22220,13.80730,0.98277,78752.19531,77433.92188,1
0.30455,0.30913,0.31815,25.09820,-9.33544,4.55666,0.97140,202226.65625,196541.25000,1
0.52846,0.51147,0.40949,19.68803,-11.61213,-2.65302,0.99379,15575.98438,15486.93652,0
0.74314,0.21149,0.63822,11.06325,-1.83592,11.92504,0.97831,23740.13086,23236.77539,0
0.27483,0.32072,0.31809,27.50313,-2.62306,-14.96745,0.98996,70265.43750,69594.82031,1
0.55657,0.43184,0.36584,12.42962,8.44670,7.78562,0.97078,28538.30664,27718.41602,0
0.73928,0.25028,0.60584,10.34109,-1.27013,10.87391,0.98076,32192.31836,31588.83008,0
0.32323,0.36446,0.34719,-1.11563,-16.82079,-12.97725,1.02929,19346.71484,19923.37695,0
0.56611,0.48620,0.39812,27.94994,13.40574,-4.68664,0.97226,98255.49219,95578.13281,1
0.79707,0.19951,0.70647,-28.12480,-13.05941,23.48019,1.01862,212330.28125,216392.92188,1
0.26874,0.35258,0.27718,3.76643,-11.51887,2.41226,1.00283,83491.07031,83769.38281,0
0.57400,0.46177,0.42095,5.09368,18.74016,-14.69036,0.99011,79205.10156,78461.11719,0
