x,y,z,vx,vy,vz,temperature,density,pressure,is_star
-65.41927,-26.69440,42.13073,-74.81436,-30.71357,47.60212,0.88157,1.00000,0.88201,0
58.48849,-42.34217,41.00242,65.93658,-48.76369,46.26418,0.88157,1.00000,0.88201,0
-89.00159,-12.63848,-7.23469,-102.31114,-14.59015,-9.03008,0.88157,1.00000,0.88201,0
-61.98221,-28.75899,26.44053,-70.95295,-33.08140,29.79386,0.88157,1.00000,0.88201,0
4.13856,-57.92210,-77.03684,4.01017,-66.55250,-88.14487,0.88157,1.00000,0.88201,0
-79.34187,52.25174,-8.08272,-91.30415,59.27832,-9.98893,0.88157,1.00000,0.88201,0
44.14571,47.40817,-34.50002,50.02087,53.71714,-39.66626,0.88157,1.00000,0.88201,0
83.23592,31.39632,-57.05061,94.14417,35.19714,-65.45666,0.88157,1.00000,0.88201,0
89.91994,29.70561,-13.76952,101.53547,33.57627,-16.47742,0.88157,1.00000,0.88201,0
23.95155,-43.14405,67.69151,27.00145,-49.58571,76.70760,0.88157,1.00000,0.88201,0
-56.48542,-96.63229,9.36149,-65.01196,-110.64408,10.22965,0.88157,1.00000,0.88201,0
38.04879,-61.77717,-18.79456,42.44183,-70.67358,-22.14261,0.88157,1.00000,0.88201,0
50.93610,-9.34859,32.93822,57.86229,-11.08172,37.30004,0.88157,1.00000,0.88201,0
-41.04526,-22.90301,-88.22248,-47.45739,-26.67774,-100.96711,0.88157,1.00000,0.88201,0
-24.73912,-28.30566,56.99710,-29.17360,-32.48119,64.09979,0.88157,1.00000,0.88201,0
-49.05715,43.33244,-67.30867,-56.24469,49.04372,-77.03154,0.88157,1.00000,0.88201,0
-47.05246,42.03495,57.03373,-54.19823,47.38781,64.71944,0.88157,1.00000,0.88201,0
71.33884,44.90500,24.06952,80.33051,50.91705,26.59887,0.88157,1.00000,0.88201,0
-70.11420,-19.42984,-13.35368,-80.21017,-22.49118,-15.48318,0.88157,1.00000,0.88201,0
-1.38470,54.32467,5.28410,-2.25536,61.33338,5.57383,0.88157,1.00000,0.88201,0
58.35051,12.88408,59.17847,65.55273,14.55137,66.58300,0.88157,1.00000,0.88201,0
10.96730,58.57443,18.53949,12.14146,66.41053,20.79725,0.88157,1.00000,0.88201,0
-34.33323,4.83226,-78.59098,-39.54600,4.98765,-89.97420,0.88157,1.00000,0.88201,0
62.02906,-36.37529,-51.82870,70.31760,-41.70454,-59.59753,0.88157,1.00000,0.88201,0
7.80543,-5.40561,50.69321,8.60728,-6.59725,57.60704,0.88157,1.00000,0.88201,0
-7.67157,-46.81626,-68.23978,-9.37242,-53.96426,-78.32922,0.88157,1.00000,0.88201,0
50.30563,88.07495,-1.66946,56.33591,100.03267,-2.72835,0.88157,1.00000,0.88201,0
