i,density,velocity,potential
0,1e-18,0,0
1,0.0200665,0,0
2,0.0399325,0,0
3,0.0593996,0,0
4,0.0782731,0,0
5,0.0963645,0,0
6,0.113493,0,0
7,0.129488,0,0
8,0.144189,0,0
9,0.157449,0,0
10,0.169136,0,0
11,0.179133,0,0
12,0.18734,0,0
13,0.193675,0,0
14,0.198075,0,0
15,0.200496,0,0
16,0.200914,0,0
17,0.199325,0,0
18,0.195743,0,0
19,0.190206,0,0
20,0.182769,0,0
21,0.173505,0,0
22,0.162508,0,0
23,0.149887,0,0
24,0.135768,0,0
25,0.120293,0,0
26,0.103616,0,0
27,0.0859034,0,0
28,0.0673326,0,0
29,0.0480891,0,0
30,0.0283651,0,0
31,0.00835771,0,0
32,-0.0117332,0,0
33,-0.0317069,0,0
34,-0.0513638,0,0
35,-0.0705074,0,0
36,-0.0889466,0,0
37,-0.106497,0,0
38,-0.122983,0,0
39,-0.138241,0,0
40,-0.152117,0,0
41,-0.164474,0,0
42,-0.175187,0,0
43,-0.184149,0,0
44,-0.191272,0,0
45,-0.196484,0,0
46,-0.199732,0,0
47,-0.200985,0,0
48,-0.200229,0,0
49,-0.197473,0,0
50,-0.192744,0,0
51,-0.186089,0,0
52,-0.177574,0,0
53,-0.167286,0,0
54,-0.155326,0,0
55,-0.141814,0,0
56,-0.126885,0,0
57,-0.110688,0,0
58,-0.093385,0,0
59,-0.0751492,0,0
60,-0.0561625,0,0
61,-0.0366147,0,0
62,-0.016701,0,0
63,0.00337959,0,0
64,0.0234264,0,0
65,0.0432391,0,0
66,0.0626198,0,0
67,0.0813748,0,0
68,0.0993168,0,0
69,0.116266,0,0
70,0.132054,0,0
71,0.146523,0,0
72,0.159527,0,0
73,0.170938,0,0
74,0.18064,0,0
75,0.188538,0,0
76,0.194552,0,0
77,0.198622,0,0
78,0.200707,0,0
79,0.200787,0,0
80,0.198861,0,0
81,0.194948,0,0
82,0.189087,0,0
83,0.181337,0,0
84,0.171774,0,0
85,0.160496,0,0
86,0.147614,0,0
87,0.133257,0,0
88,0.117568,0,0
89,0.100705,0,0
90,0.0828358,0,0
91,0.0641388,0,0
92,0.0448009,0,0
93,0.0250153,0,0
94,0.00497986,0,0
95,-0.0151054,0,0
96,-0.0350397,0,0
97,-0.0546239,0,0
98,-0.0736623,0,0
99,-0.0919647,0,0
100,-0.109348,0,0
101,-0.125639,0,0
102,-0.140675,0,0
103,-0.154305,0,0
104,-0.166393,0,0
105,-0.176819,0,0
106,-0.185478,0,0
107,-0.192284,0,0
108,-0.197168,0,0
109,-0.200083,0,0
110,-0.200998,0,0
111,-0.199905,0,0
112,-0.196815,0,0
113,-0.191758,0,0
114,-0.184785,0,0
115,-0.175966,0,0
116,-0.165389,0,0
117,-0.153159,0,0
118,-0.139399,0,0
119,-0.124246,0,0
120,-0.107851,0,0
121,-0.0903791,0,0
122,-0.0720041,0,0
123,-0.0529096,0,0
124,-0.0332864,0,0
125,-0.0133307,0,0
126,0.00675823,0,0
127,0.0267796,0,0
128,0.0465335,0,0
129,0.0658224,0,0
130,0.0844536,0,0
131,0.102241,0,0
132,0.119007,0,0
133,0.134584,0,0
134,0.148816,0,0
135,0.161561,0,0
136,0.172692,0,0
137,0.182097,0,0
138,0.189683,0,0
139,0.195374,0,0
140,0.199112,0,0
141,0.200861,0,0
142,0.200603,0,0
143,0.198341,0,0
144,0.194097,0,0
145,0.187914,0,0
146,0.179853,0,0
147,0.169995,0,0
148,0.158439,0,0
149,0.145299,0,0
150,0.130708,0,0
151,0.114811,0,0
152,0.0977661,0,0
153,0.0797449,0,0
154,0.0609268,0,0
155,0.0415,0,0
156,0.0216585,0,0
157,0.0016006,0,0
158,-0.0184733,0,0
159,-0.0383626,0,0
160,-0.0578686,0,0
161,-0.0767964,0,0
162,-0.0949568,0,0
163,-0.112169,0,0
164,-0.128259,0,0
165,-0.143069,0,0
166,-0.156449,0,0
167,-0.168265,0,0
168,-0.178401,0,0
169,-0.186754,0,0
170,-0.193241,0,0
171,-0.197797,0,0
172,-0.200377,0,0
173,-0.200955,0,0
174,-0.199525,0,0
175,-0.196101,0,0
176,-0.190718,0,0
177,-0.183429,0,0
178,-0.174308,0,0
179,-0.163445,0,0
180,-0.150948,0,0
181,-0.136944,0,0
182,-0.121571,0,0
183,-0.104984,0,0
184,-0.0873477,0,0
185,-0.0688386,0,0
186,-0.0496417,0,0
187,-0.0299488,0,0
188,-0.00995666,0,0
189,0.010135,0,0
190,0.0301253,0,0
191,0.0498147,0,0
192,0.0690063,0,0
193,0.0875084,0,0
194,0.105136,0,0
195,0.121714,0,0
196,0.137075,0,0
197,0.151066,0,0
198,0.163548,0,0
199,0.174396,0,0
