i,density,velocity,potential
0,1e-18,0,0
1,9.98334e-05,0,0
2,0.000198669,0,0
3,0.00029552,0,0
4,0.000389418,0,0
5,0.000479426,0,0
6,0.000564642,0,0
7,0.000644218,0,0
8,0.000717356,0,0
9,0.000783327,0,0
10,0.000841471,0,0
11,0.000891207,0,0
12,0.000932039,0,0
13,0.000963558,0,0
14,0.00098545,0,0
15,0.000997495,0,0
16,0.000999574,0,0
17,0.000991665,0,0
18,0.000973848,0,0
19,0.0009463,0,0
20,0.000909297,0,0
21,0.000863209,0,0
22,0.000808496,0,0
23,0.000745705,0,0
24,0.000675463,0,0
25,0.000598472,0,0
26,0.000515501,0,0
27,0.00042738,0,0
28,0.000334988,0,0
29,0.000239249,0,0
30,0.00014112,0,0
31,4.15807e-05,0,0
32,-5.83741e-05,0,0
33,-0.000157746,0,0
34,-0.000255541,0,0
35,-0.000350783,0,0
36,-0.00044252,0,0
37,-0.000529836,0,0
38,-0.000611858,0,0
39,-0.000687766,0,0
40,-0.000756802,0,0
41,-0.000818277,0,0
42,-0.000871576,0,0
43,-0.000916166,0,0
44,-0.000951602,0,0
45,-0.00097753,0,0
46,-0.000993691,0,0
47,-0.000999923,0,0
48,-0.000996165,0,0
49,-0.000982453,0,0
50,-0.000958924,0,0
51,-0.000925815,0,0
52,-0.000883455,0,0
53,-0.000832267,0,0
54,-0.000772764,0,0
55,-0.00070554,0,0
56,-0.000631267,0,0
57,-0.000550686,0,0
58,-0.000464602,0,0
59,-0.000373877,0,0
60,-0.000279415,0,0
61,-0.000182163,0,0
62,-8.30894e-05,0,0
63,1.68139e-05,0,0
64,0.000116549,0,0
65,0.00021512,0,0
66,0.000311541,0,0
67,0.00040485,0,0
68,0.000494113,0,0
69,0.00057844,0,0
70,0.000656987,0,0
71,0.000728969,0,0
72,0.000793668,0,0
73,0.000850437,0,0
74,0.000898708,0,0
75,0.000938,0,0
76,0.00096792,0,0
77,0.000988168,0,0
78,0.000998543,0,0
79,0.000998941,0,0
80,0.000989358,0,0
81,0.00096989,0,0
82,0.000940731,0,0
83,0.000902172,0,0
84,0.000854599,0,0
85,0.000798487,0,0
86,0.000734397,0,0
87,0.000662969,0,0
88,0.000584917,0,0
89,0.000501021,0,0
90,0.000412118,0,0
91,0.000319098,0,0
92,0.00022289,0,0
93,0.000124454,0,0
94,2.47754e-05,0,0
95,-7.51511e-05,0,0
96,-0.000174327,0,0
97,-0.000271761,0,0
98,-0.000366479,0,0
99,-0.000457536,0,0
100,-0.000544021,0,0
101,-0.000625071,0,0
102,-0.000699875,0,0
103,-0.000767686,0,0
104,-0.000827826,0,0
105,-0.000879696,0,0
106,-0.000922775,0,0
107,-0.000956635,0,0
108,-0.000980936,0,0
109,-0.000995436,0,0
110,-0.00099999,0,0
111,-0.000994553,0,0
112,-0.000979178,0,0
113,-0.000954019,0,0
114,-0.000919329,0,0
115,-0.000875452,0,0
116,-0.000822829,0,0
117,-0.000761984,0,0
118,-0.000693525,0,0
119,-0.000618137,0,0
120,-0.000536573,0,0
121,-0.000449647,0,0
122,-0.000358229,0,0
123,-0.000263232,0,0
124,-0.000165604,0,0
125,-6.63219e-05,0,0
126,3.3623e-05,0,0
127,0.000133232,0,0
128,0.00023151,0,0
129,0.000327474,0,0
130,0.000420167,0,0
131,0.000508661,0,0
132,0.000592074,0,0
133,0.00066957,0,0
134,0.000740376,0,0
135,0.000803784,0,0
136,0.000859162,0,0
137,0.000905955,0,0
138,0.000943696,0,0
139,0.000972008,0,0
140,0.000990607,0,0
141,0.000999309,0,0
142,0.000998027,0,0
143,0.000986772,0,0
144,0.000965658,0,0
145,0.000934895,0,0
146,0.000894791,0,0
147,0.000845747,0,0
148,0.000788252,0,0
149,0.000722881,0,0
150,0.000650288,0,0
151,0.000571197,0,0
152,0.000486399,0,0
153,0.000396741,0,0
154,0.000303118,0,0
155,0.000206467,0,0
156,0.000107754,0,0
157,7.96318e-06,0,0
158,-9.19069e-05,0,0
159,-0.000190859,0,0
160,-0.000287903,0,0
161,-0.000382071,0,0
162,-0.000472422,0,0
163,-0.000558052,0,0
164,-0.000638107,0,0
165,-0.000711785,0,0
166,-0.000778352,0,0
167,-0.000837142,0,0
168,-0.000887567,0,0
169,-0.000929124,0,0
170,-0.000961397,0,0
171,-0.000984065,0,0
172,-0.0009969,0,0
173,-0.000999774,0,0
174,-0.000992659,0,0
175,-0.000975626,0,0
176,-0.000948844,0,0
177,-0.000912582,0,0
178,-0.000867202,0,0
179,-0.000813157,0,0
180,-0.000750987,0,0
181,-0.000681314,0,0
182,-0.000604833,0,0
183,-0.000522309,0,0
184,-0.000434566,0,0
185,-0.000342481,0,0
186,-0.000246974,0,0
187,-0.000148999,0,0
188,-4.95356e-05,0,0
189,5.04227e-05,0,0
190,0.000149877,0,0
191,0.000247834,0,0
192,0.000343315,0,0
193,0.000435365,0,0
194,0.000523066,0,0
195,0.00060554,0,0
196,0.000681964,0,0
197,0.000751573,0,0
198,0.000813674,0,0
199,0.000867644,0,0
