i,density,velocity,potential
0,1e-18,0,0
1,0.0450249,0,0
2,0.0895999,0,0
3,0.13328,0,0
4,0.175628,0,0
5,0.216221,0,0
6,0.254654,0,0
7,0.290542,0,0
8,0.323528,0,0
9,0.35328,0,0
10,0.379503,0,0
11,0.401935,0,0
12,0.42035,0,0
13,0.434565,0,0
14,0.444438,0,0
15,0.44987,0,0
16,0.450808,0,0
17,0.447241,0,0
18,0.439205,0,0
19,0.426781,0,0
20,0.410093,0,0
21,0.389307,0,0
22,0.364632,0,0
23,0.336313,0,0
24,0.304634,0,0
25,0.269911,0,0
26,0.232491,0,0
27,0.192748,0,0
28,0.15108,0,0
29,0.107901,0,0
30,0.0636451,0,0
31,0.0187529,0,0
32,-0.0263267,0,0
33,-0.0711433,0,0
34,-0.115249,0,0
35,-0.158203,0,0
36,-0.199577,0,0
37,-0.238956,0,0
38,-0.275948,0,0
39,-0.310183,0,0
40,-0.341318,0,0
41,-0.369043,0,0
42,-0.393081,0,0
43,-0.413191,0,0
44,-0.429173,0,0
45,-0.440866,0,0
46,-0.448155,0,0
47,-0.450965,0,0
48,-0.44927,0,0
49,-0.443086,0,0
50,-0.432475,0,0
51,-0.417542,0,0
52,-0.398438,0,0
53,-0.375353,0,0
54,-0.348517,0,0
55,-0.318199,0,0
56,-0.284701,0,0
57,-0.248359,0,0
58,-0.209536,0,0
59,-0.168618,0,0
60,-0.126016,0,0
61,-0.0821553,0,0
62,-0.0374733,0,0
63,0.00758307,0,0
64,0.0525637,0,0
65,0.0970191,0,0
66,0.140505,0,0
67,0.182587,0,0
68,0.222845,0,0
69,0.260876,0,0
70,0.296301,0,0
71,0.328765,0,0
72,0.357944,0,0
73,0.383547,0,0
74,0.405317,0,0
75,0.423038,0,0
76,0.436532,0,0
77,0.445664,0,0
78,0.450343,0,0
79,0.450523,0,0
80,0.446201,0,0
81,0.43742,0,0
82,0.424269,0,0
83,0.406879,0,0
84,0.385424,0,0
85,0.360118,0,0
86,0.331213,0,0
87,0.298999,0,0
88,0.263798,0,0
89,0.22596,0,0
90,0.185865,0,0
91,0.143913,0,0
92,0.100523,0,0
93,0.0561289,0,0
94,0.0111737,0,0
95,-0.0338932,0,0
96,-0.0786214,0,0
97,-0.122564,0,0
98,-0.165282,0,0
99,-0.206349,0,0
100,-0.245354,0,0
101,-0.281907,0,0
102,-0.315643,0,0
103,-0.346226,0,0
104,-0.37335,0,0
105,-0.396743,0,0
106,-0.416172,0,0
107,-0.431442,0,0
108,-0.442402,0,0
109,-0.448942,0,0
110,-0.450996,0,0
111,-0.448543,0,0
112,-0.441609,0,0
113,-0.430263,0,0
114,-0.414617,0,0
115,-0.394829,0,0
116,-0.371096,0,0
117,-0.343655,0,0
118,-0.31278,0,0
119,-0.27878,0,0
120,-0.241994,0,0
121,-0.202791,0,0
122,-0.161561,0,0
123,-0.118718,0,0
124,-0.0746875,0,0
125,-0.0299112,0,0
126,0.015164,0,0
127,0.0600877,0,0
128,0.104411,0,0
129,0.147691,0,0
130,0.189495,0,0
131,0.229406,0,0
132,0.267025,0,0
133,0.301976,0,0
134,0.33391,0,0
135,0.362507,0,0
136,0.387482,0,0
137,0.408586,0,0
138,0.425607,0,0
139,0.438375,0,0
140,0.446764,0,0
141,0.450689,0,0
142,0.45011,0,0
143,0.445034,0,0
144,0.435512,0,0
145,0.421638,0,0
146,0.403551,0,0
147,0.381432,0,0
148,0.355502,0,0
149,0.326019,0,0
150,0.29328,0,0
151,0.25761,0,0
152,0.219366,0,0
153,0.17893,0,0
154,0.136706,0,0
155,0.0931168,0,0
156,0.0485969,0,0
157,0.0035914,0,0
158,-0.04145,0,0
159,-0.0860772,0,0
160,-0.129844,0,0
161,-0.172314,0,0
162,-0.213062,0,0
163,-0.251682,0,0
164,-0.287786,0,0
165,-0.321015,0,0
166,-0.351037,0,0
167,-0.377551,0,0
168,-0.400293,0,0
169,-0.419035,0,0
170,-0.43359,0,0
171,-0.443813,0,0
172,-0.449602,0,0
173,-0.450898,0,0
174,-0.447689,0,0
175,-0.440007,0,0
176,-0.427929,0,0
177,-0.411575,0,0
178,-0.391108,0,0
179,-0.366734,0,0
180,-0.338695,0,0
181,-0.307273,0,0
182,-0.27278,0,0
183,-0.235561,0,0
184,-0.195989,0,0
185,-0.154459,0,0
186,-0.111385,0,0
187,-0.0671986,0,0
188,-0.0223406,0,0
189,0.0227406,0,0
190,0.0675946,0,0
191,0.111773,0,0
192,0.154835,0,0
193,0.19635,0,0
194,0.235903,0,0
195,0.273098,0,0
196,0.307566,0,0
197,0.33896,0,0
198,0.366967,0,0
199,0.391307,0,0
