i,density,velocity,potential
0,1e-18,0,0
1,0.0150748,0,0
2,0.0299991,0,0
3,0.0446236,0,0
4,0.0588022,0,0
5,0.0723933,0,0
6,0.085261,0,0
7,0.0972769,0,0
8,0.108321,0,0
9,0.118282,0,0
10,0.127062,0,0
11,0.134572,0,0
12,0.140738,0,0
13,0.145497,0,0
14,0.148803,0,0
15,0.150622,0,0
16,0.150936,0,0
17,0.149741,0,0
18,0.147051,0,0
19,0.142891,0,0
20,0.137304,0,0
21,0.130345,0,0
22,0.122083,0,0
23,0.112601,0,0
24,0.101995,0,0
25,0.0903693,0,0
26,0.0778407,0,0
27,0.0645344,0,0
28,0.0505832,0,0
29,0.0361266,0,0
30,0.0213091,0,0
31,0.00627868,0,0
32,-0.0088145,0,0
33,-0.0238196,0,0
34,-0.0385867,0,0
35,-0.0529683,0,0
36,-0.0668206,0,0
37,-0.0800053,0,0
38,-0.0923905,0,0
39,-0.103853,0,0
40,-0.114277,0,0
41,-0.12356,0,0
42,-0.131608,0,0
43,-0.138341,0,0
44,-0.143692,0,0
45,-0.147607,0,0
46,-0.150047,0,0
47,-0.150988,0,0
48,-0.150421,0,0
49,-0.14835,0,0
50,-0.144798,0,0
51,-0.139798,0,0
52,-0.133402,0,0
53,-0.125672,0,0
54,-0.116687,0,0
55,-0.106537,0,0
56,-0.0953213,0,0
57,-0.0831535,0,0
58,-0.0701549,0,0
59,-0.0564554,0,0
60,-0.0421917,0,0
61,-0.0275065,0,0
62,-0.0125465,0,0
63,0.0025389,0,0
64,0.0175989,0,0
65,0.0324831,0,0
66,0.0470427,0,0
67,0.0611323,0,0
68,0.0746111,0,0
69,0.0873444,0,0
70,0.099205,0,0
71,0.110074,0,0
72,0.119844,0,0
73,0.128416,0,0
74,0.135705,0,0
75,0.141638,0,0
76,0.146156,0,0
77,0.149213,0,0
78,0.15078,0,0
79,0.15084,0,0
80,0.149393,0,0
81,0.146453,0,0
82,0.14205,0,0
83,0.136228,0,0
84,0.129044,0,0
85,0.120572,0,0
86,0.110894,0,0
87,0.100108,0,0
88,0.0883225,0,0
89,0.0756541,0,0
90,0.0622299,0,0
91,0.0481839,0,0
92,0.0336564,0,0
93,0.0187926,0,0
94,0.00374109,0,0
95,-0.0113478,0,0
96,-0.0263233,0,0
97,-0.0410359,0,0
98,-0.0553383,0,0
99,-0.0690879,0,0
100,-0.0821472,0,0
101,-0.0943857,0,0
102,-0.105681,0,0
103,-0.115921,0,0
104,-0.125002,0,0
105,-0.132834,0,0
106,-0.139339,0,0
107,-0.144452,0,0
108,-0.148121,0,0
109,-0.150311,0,0
110,-0.150999,0,0
111,-0.150177,0,0
112,-0.147856,0,0
113,-0.144057,0,0
114,-0.138819,0,0
115,-0.132193,0,0
116,-0.124247,0,0
117,-0.11506,0,0
118,-0.104722,0,0
119,-0.0933387,0,0
120,-0.0810225,0,0
121,-0.0678968,0,0
122,-0.0540926,0,0
123,-0.039748,0,0
124,-0.0250062,0,0
125,-0.0100146,0,0
126,0.00507708,0,0
127,0.020118,0,0
128,0.034958,0,0
129,0.0494486,0,0
130,0.0634452,0,0
131,0.0768079,0,0
132,0.0894031,0,0
133,0.101105,0,0
134,0.111797,0,0
135,0.121371,0,0
136,0.129733,0,0
137,0.136799,0,0
138,0.142498,0,0
139,0.146773,0,0
140,0.149582,0,0
141,0.150896,0,0
142,0.150702,0,0
143,0.149003,0,0
144,0.145814,0,0
145,0.141169,0,0
146,0.135113,0,0
147,0.127708,0,0
148,0.119026,0,0
149,0.109155,0,0
150,0.0981935,0,0
151,0.0862507,0,0
152,0.0734462,0,0
153,0.0599078,0,0
154,0.0457709,0,0
155,0.0311766,0,0
156,0.0162708,0,0
157,0.00120244,0,0
158,-0.0138779,0,0
159,-0.0288196,0,0
160,-0.0434734,0,0
161,-0.0576928,0,0
162,-0.0713357,0,0
163,-0.0842659,0,0
164,-0.0963541,0,0
165,-0.10748,0,0
166,-0.117531,0,0
167,-0.126408,0,0
168,-0.134023,0,0
169,-0.140298,0,0
170,-0.145171,0,0
171,-0.148594,0,0
172,-0.150532,0,0
173,-0.150966,0,0
174,-0.149892,0,0
175,-0.14732,0,0
176,-0.143276,0,0
177,-0.1378,0,0
178,-0.130948,0,0
179,-0.122787,0,0
180,-0.113399,0,0
181,-0.102878,0,0
182,-0.0913298,0,0
183,-0.0788686,0,0
184,-0.0656194,0,0
185,-0.0517146,0,0
186,-0.037293,0,0
187,-0.0224989,0,0
188,-0.00747988,0,0
189,0.00761383,0,0
190,0.0226315,0,0
191,0.037423,0,0
192,0.0518406,0,0
193,0.0657402,0,0
194,0.0789829,0,0
195,0.0914365,0,0
196,0.102977,0,0
197,0.113488,0,0
198,0.122865,0,0
199,0.131014,0,0
