i,density,velocity,potential
0,1e-18,0,0
1,0.0300499,0,0
2,0.0597995,0,0
3,0.0889516,0,0
4,0.117215,0,0
5,0.144307,0,0
6,0.169957,0,0
7,0.19391,0,0
8,0.215924,0,0
9,0.235781,0,0
10,0.253283,0,0
11,0.268253,0,0
12,0.280544,0,0
13,0.290031,0,0
14,0.29662,0,0
15,0.300246,0,0
16,0.300872,0,0
17,0.298491,0,0
18,0.293128,0,0
19,0.284836,0,0
20,0.273699,0,0
21,0.259826,0,0
22,0.243357,0,0
23,0.224457,0,0
24,0.203314,0,0
25,0.18014,0,0
26,0.155166,0,0
27,0.128641,0,0
28,0.100831,0,0
29,0.072014,0,0
30,0.0424771,0,0
31,0.0125158,0,0
32,-0.0175706,0,0
33,-0.0474815,0,0
34,-0.0769179,0,0
35,-0.105586,0,0
36,-0.133199,0,0
37,-0.159481,0,0
38,-0.184169,0,0
39,-0.207018,0,0
40,-0.227798,0,0
41,-0.246301,0,0
42,-0.262344,0,0
43,-0.275766,0,0
44,-0.286432,0,0
45,-0.294237,0,0
46,-0.299101,0,0
47,-0.300977,0,0
48,-0.299846,0,0
49,-0.295718,0,0
50,-0.288636,0,0
51,-0.27867,0,0
52,-0.26592,0,0
53,-0.250513,0,0
54,-0.232602,0,0
55,-0.212368,0,0
56,-0.190011,0,0
57,-0.165756,0,0
58,-0.139845,0,0
59,-0.112537,0,0
60,-0.0841041,0,0
61,-0.0548309,0,0
62,-0.0250099,0,0
63,0.00506098,0,0
64,0.0350813,0,0
65,0.0647511,0,0
66,0.093774,0,0
67,0.12186,0,0
68,0.148728,0,0
69,0.17411,0,0
70,0.197753,0,0
71,0.21942,0,0
72,0.238894,0,0
73,0.255981,0,0
74,0.270511,0,0
75,0.282338,0,0
76,0.291344,0,0
77,0.297439,0,0
78,0.300562,0,0
79,0.300681,0,0
80,0.297797,0,0
81,0.291937,0,0
82,0.28316,0,0
83,0.271554,0,0
84,0.257234,0,0
85,0.240345,0,0
86,0.221054,0,0
87,0.199554,0,0
88,0.17606,0,0
89,0.150807,0,0
90,0.124048,0,0
91,0.0960486,0,0
92,0.0670899,0,0
93,0.0374608,0,0
94,0.0074574,0,0
95,-0.0226205,0,0
96,-0.0524724,0,0
97,-0.0817999,0,0
98,-0.11031,0,0
99,-0.137718,0,0
100,-0.16375,0,0
101,-0.188146,0,0
102,-0.210662,0,0
103,-0.231073,0,0
104,-0.249176,0,0
105,-0.264788,0,0
106,-0.277755,0,0
107,-0.287947,0,0
108,-0.295262,0,0
109,-0.299626,0,0
110,-0.300997,0,0
111,-0.29936,0,0
112,-0.294732,0,0
113,-0.28716,0,0
114,-0.276718,0,0
115,-0.263511,0,0
116,-0.247671,0,0
117,-0.229357,0,0
118,-0.208751,0,0
119,-0.186059,0,0
120,-0.161508,0,0
121,-0.135344,0,0
122,-0.107827,0,0
123,-0.0792328,0,0
124,-0.0498469,0,0
125,-0.0199629,0,0
126,0.0101205,0,0
127,0.0401028,0,0
128,0.0696845,0,0
129,0.0985698,0,0
130,0.12647,0,0
131,0.153107,0,0
132,0.178214,0,0
133,0.20154,0,0
134,0.222853,0,0
135,0.241939,0,0
136,0.258608,0,0
137,0.272692,0,0
138,0.284052,0,0
139,0.292574,0,0
140,0.298173,0,0
141,0.300792,0,0
142,0.300406,0,0
143,0.297018,0,0
144,0.290663,0,0
145,0.281403,0,0
146,0.269332,0,0
147,0.25457,0,0
148,0.237264,0,0
149,0.217587,0,0
150,0.195737,0,0
151,0.17193,0,0
152,0.146406,0,0
153,0.119419,0,0
154,0.0912386,0,0
155,0.0621467,0,0
156,0.0324338,0,0
157,0.00239692,0,0
158,-0.027664,0,0
159,-0.0574484,0,0
160,-0.0866589,0,0
161,-0.115003,0,0
162,-0.142199,0,0
163,-0.167974,0,0
164,-0.19207,0,0
165,-0.214247,0,0
166,-0.234284,0,0
167,-0.25198,0,0
168,-0.267158,0,0
169,-0.279666,0,0
170,-0.289381,0,0
171,-0.296204,0,0
172,-0.300067,0,0
173,-0.300932,0,0
174,-0.29879,0,0
175,-0.293663,0,0
176,-0.285602,0,0
177,-0.274687,0,0
178,-0.261028,0,0
179,-0.24476,0,0
180,-0.226047,0,0
181,-0.205075,0,0
182,-0.182055,0,0
183,-0.157215,0,0
184,-0.130804,0,0
185,-0.103087,0,0
186,-0.0743391,0,0
187,-0.0448487,0,0
188,-0.0149102,0,0
189,0.0151772,0,0
190,0.045113,0,0
191,0.0745981,0,0
192,0.103338,0,0
193,0.131045,0,0
194,0.157443,0,0
195,0.182268,0,0
196,0.205271,0,0
197,0.226224,0,0
198,0.244916,0,0
199,0.261161,0,0
