i,density,velocity,potential
0,1e-18,0,0
1,0.0899499,0,0
2,0.179001,0,0
3,0.266264,0,0
4,0.350866,0,0
5,0.431962,0,0
6,0.508743,0,0
7,0.58044,0,0
8,0.646338,0,0
9,0.705778,0,0
10,0.758165,0,0
11,0.802978,0,0
12,0.839767,0,0
13,0.868166,0,0
14,0.88789,0,0
15,0.898743,0,0
16,0.900616,0,0
17,0.89349,0,0
18,0.877437,0,0
19,0.852616,0,0
20,0.819277,0,0
21,0.777752,0,0
22,0.728455,0,0
23,0.67188,0,0
24,0.608592,0,0
25,0.539223,0,0
26,0.464467,0,0
27,0.385069,0,0
28,0.301824,0,0
29,0.215564,0,0
30,0.127149,0,0
31,0.0374642,0,0
32,-0.0525951,0,0
33,-0.142129,0,0
34,-0.230243,0,0
35,-0.316056,0,0
36,-0.398711,0,0
37,-0.477382,0,0
38,-0.551284,0,0
39,-0.619677,0,0
40,-0.681879,0,0
41,-0.737268,0,0
42,-0.78529,0,0
43,-0.825466,0,0
44,-0.857393,0,0
45,-0.880755,0,0
46,-0.895316,0,0
47,-0.900931,0,0
48,-0.897544,0,0
49,-0.88519,0,0
50,-0.863991,0,0
51,-0.834159,0,0
52,-0.795993,0,0
53,-0.749873,0,0
54,-0.696261,0,0
55,-0.635692,0,0
56,-0.568771,0,0
57,-0.496168,0,0
58,-0.418607,0,0
59,-0.336863,0,0
60,-0.251753,0,0
61,-0.164128,0,0
62,-0.0748636,0,0
63,0.0151493,0,0
64,0.105011,0,0
65,0.193823,0,0
66,0.280699,0,0
67,0.36477,0,0
68,0.445196,0,0
69,0.521174,0,0
70,0.591945,0,0
71,0.656801,0,0
72,0.715095,0,0
73,0.766243,0,0
74,0.809736,0,0
75,0.845138,0,0
76,0.872096,0,0
77,0.89034,0,0
78,0.899688,0,0
79,0.900046,0,0
80,0.891412,0,0
81,0.873871,0,0
82,0.847598,0,0
83,0.812857,0,0
84,0.769994,0,0
85,0.719437,0,0
86,0.661692,0,0
87,0.597335,0,0
88,0.52701,0,0
89,0.45142,0,0
90,0.371319,0,0
91,0.287508,0,0
92,0.200824,0,0
93,0.112133,0,0
94,0.0223227,0,0
95,-0.0677112,0,0
96,-0.157068,0,0
97,-0.244856,0,0
98,-0.330198,0,0
99,-0.41224,0,0
100,-0.490163,0,0
101,-0.563189,0,0
102,-0.630587,0,0
103,-0.691685,0,0
104,-0.745872,0,0
105,-0.792606,0,0
106,-0.831421,0,0
107,-0.861928,0,0
108,-0.883824,0,0
109,-0.896888,0,0
110,-0.900991,0,0
111,-0.896092,0,0
112,-0.882239,0,0
113,-0.859571,0,0
114,-0.828315,0,0
115,-0.788782,0,0
116,-0.741369,0,0
117,-0.686547,0,0
118,-0.624866,0,0
119,-0.556942,0,0
120,-0.483452,0,0
121,-0.405132,0,0
122,-0.322765,0,0
123,-0.237172,0,0
124,-0.149209,0,0
125,-0.059756,0,0
126,0.0302944,0,0
127,0.120042,0,0
128,0.20859,0,0
129,0.295054,0,0
130,0.378571,0,0
131,0.458304,0,0
132,0.533458,0,0
133,0.603282,0,0
134,0.667079,0,0
135,0.72421,0,0
136,0.774105,0,0
137,0.816265,0,0
138,0.85027,0,0
139,0.875779,0,0
140,0.892537,0,0
141,0.900378,0,0
142,0.899222,0,0
143,0.889082,0,0
144,0.870058,0,0
145,0.84234,0,0
146,0.806207,0,0
147,0.762018,0,0
148,0.710215,0,0
149,0.651316,0,0
150,0.585909,0,0
151,0.514648,0,0
152,0.438245,0,0
153,0.357463,0,0
154,0.27311,0,0
155,0.186027,0,0
156,0.097086,0,0
157,0.00717483,0,0
158,-0.0828081,0,0
159,-0.171964,0,0
160,-0.259401,0,0
161,-0.344246,0,0
162,-0.425652,0,0
163,-0.502805,0,0
164,-0.574934,0,0
165,-0.641319,0,0
166,-0.701295,0,0
167,-0.754265,0,0
168,-0.799698,0,0
169,-0.837141,0,0
170,-0.866219,0,0
171,-0.886643,0,0
172,-0.898207,0,0
173,-0.900797,0,0
174,-0.894386,0,0
175,-0.879039,0,0
176,-0.854909,0,0
177,-0.822237,0,0
178,-0.781349,0,0
179,-0.732655,0,0
180,-0.67664,0,0
181,-0.613864,0,0
182,-0.544954,0,0
183,-0.4706,0,0
184,-0.391544,0,0
185,-0.308575,0,0
186,-0.222523,0,0
187,-0.134248,0,0
188,-0.0446316,0,0
189,0.0454308,0,0
190,0.135039,0,0
191,0.223299,0,0
192,0.309327,0,0
193,0.392264,0,0
194,0.471282,0,0
195,0.545591,0,0
196,0.614449,0,0
197,0.677168,0,0
198,0.73312,0,0
199,0.781747,0,0
